index,cardinal,street,streetb,city,zipcode,lon,lat,addresses,price,neighbourhood
11004,SW,59th,Ave,Portland,97219,-122.7377578,45.44596526,"11004 SW 59th Ave, Portland, OR 97219",529500,CRESTWOOD
10945,SW,60th,Ave,Portland,97219,-122.7387163,45.44620376,"10945 SW 60th Ave, Portland, OR 97219",579900,CRESTWOOD
11109,SW,66th,Ave,Portland,97223,-122.744817,45.44736537,"11109 SW 66th Ave, Portland, OR 97223",585000,CRESTWOOD
10729,SW,62nd,Pl,Portland,97219,-122.7406012,45.44802146,"10729 SW 62nd Pl, Portland, OR 97219",599900,CRESTWOOD
10708,SW,59th,Dr,Portland,97219,-122.7378559,45.44836001,"10708 SW 59th Dr, Portland, OR 97219",489000,CRESTWOOD
6425,SW,Alfred,St,Portland,97219,-122.7431084,45.45135704,"6425 SW Alfred St, Portland, OR 97219",588000,CRESTWOOD
10029,SW,52nd,Ave,Portland,97219,-122.7299908,45.45295627,"10029 SW 52nd Ave, Portland, OR 97219",499000,CRESTWOOD
