index,neighbourhood,type of crime,lat,long,x,y
3447,Alameda,False Pretenses/Swindle/Confidence Game,45.5518063,-122.6432658,7653129,694558
3450,Alameda,Motor Vehicle Theft,45.54665443,-122.6436726,7652975,692683
3451,Alameda,Burglary,45.54210492,-122.6437038,7652923,691025
3452,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54210492,-122.6437038,7652923,691025
3453,Alameda,All Other Larceny,45.54890227,-122.6436286,7653008,693502
3454,Alameda,Motor Vehicle Theft,45.54366625,-122.6436925,7652941,691594
3455,Alameda,Vandalism,45.55140809,-122.6424034,7653346,694407
3456,Alameda,Motor Vehicle Theft,45.54665177,-122.6426377,7653240,692675
3457,Alameda,Simple Assault,45.54827558,-122.6405982,7653778,693253
3458,Alameda,False Pretenses/Swindle/Confidence Game,45.54818777,-122.6405988,7653777,693221
3459,Alameda,All Other Larceny,45.54940351,-122.6405822,7653793,693664
3460,Alameda,Theft From Motor Vehicle,45.55429501,-122.6404543,7653873,695446
3461,Alameda,All Other Larceny,45.55311943,-122.6396407,7654070,695012
3462,Alameda,Motor Vehicle Theft,45.55311943,-122.6396407,7654070,695012
3463,Alameda,Motor Vehicle Theft,45.5496589,-122.6395375,7654063,693750
3464,Alameda,Theft of Motor Vehicle Parts or Accessories,45.55272454,-122.6384503,7654371,694860
3465,Alameda,Motor Vehicle Theft,45.54828045,-122.6385679,7654298,693241
3466,Alameda,Vandalism,45.54819264,-122.6385685,7654297,693209
3467,Alameda,Theft From Motor Vehicle,45.54828045,-122.6385679,7654298,693241
3468,Alameda,Motor Vehicle Theft,45.54665613,-122.6385731,7654281,692649
3469,Alameda,Vandalism,45.54511969,-122.6385738,7654266,692089
3470,Alameda,All Other Larceny,45.54244561,-122.6432364,7653046,691146
3471,Alameda,Theft From Motor Vehicle,45.55043504,-122.638817,7654255,694028
3472,Alameda,All Other Larceny,45.55173088,-122.6378857,7654506,694494
3473,Alameda,Theft From Building,45.54819506,-122.6375534,7654557,693203
3474,Alameda,Credit Card/ATM Fraud,45.54819506,-122.6375534,7654557,693203
3475,Alameda,Theft From Building,45.54819506,-122.6375534,7654557,693203
3476,Alameda,Theft From Motor Vehicle,45.55117211,-122.6382786,7654400,694293
3477,Alameda,Burglary,45.55437083,-122.6374111,7654653,695453
3478,Alameda,Motor Vehicle Theft,45.54323278,-122.641189,7653578,691419
3479,Alameda,Theft From Motor Vehicle,45.54323158,-122.6380107,7654392,691397
3480,Alameda,Theft From Motor Vehicle,45.54322851,-122.6369954,7654652,691389
3481,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54324025,-122.6338527,7655457,691372
3482,Alameda,Motor Vehicle Theft,45.54324851,-122.6307451,7656253,691354
3483,Alameda,Theft From Motor Vehicle,45.54326457,-122.6297305,7656513,691353
3484,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54326417,-122.6287154,7656773,691346
3485,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54828355,-122.6364829,7654832,693228
3486,Alameda,All Other Larceny,45.54400608,-122.6441543,7652826,691721
3487,Alameda,Credit Card/ATM Fraud,45.54400608,-122.6441543,7652826,691721
3488,Alameda,Theft From Motor Vehicle,45.54401548,-122.6359864,7654918,691669
3489,Alameda,Theft From Motor Vehicle,45.54403385,-122.6336678,7655512,691660
3490,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54403859,-122.6316376,7656032,691648
3491,Alameda,Theft From Motor Vehicle,45.54413741,-122.6307472,7656261,691678
3492,Alameda,Vandalism,45.5441425,-122.6297322,7656521,691673
3493,Alameda,Vandalism,45.5441425,-122.6297322,7656521,691673
3494,Alameda,Theft of Motor Vehicle Parts or Accessories,45.55436467,-122.6353801,7655173,695437
3495,Alameda,Identity Theft,45.54486558,-122.6337928,7655488,691964
3496,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54486558,-122.6337928,7655488,691964
3497,Alameda,All Other Larceny,45.54498154,-122.6296114,7656560,691978
3498,Alameda,Motor Vehicle Theft,45.55134418,-122.6344816,7655374,694330
3499,Alameda,Motor Vehicle Theft,45.55300906,-122.6343606,7655421,694936
3500,Alameda,Theft of Motor Vehicle Parts or Accessories,45.55309686,-122.63436,7655422,694968
3501,Alameda,Vandalism,45.55309686,-122.63436,7655422,694968
3502,Alameda,Motor Vehicle Theft,45.54523042,-122.6342399,7655377,692100
3503,Alameda,Vandalism,45.54366663,-122.6342358,7655363,691530
3504,Alameda,Theft From Motor Vehicle,45.54554215,-122.6390192,7654156,692246
3505,Alameda,Vandalism,45.54562864,-122.6348094,7655235,692249
3506,Alameda,Theft From Motor Vehicle,45.54563534,-122.631639,7656047,692230
3507,Alameda,Theft From Motor Vehicle,45.54563534,-122.631639,7656047,692230
3508,Alameda,Motor Vehicle Theft,45.55309484,-122.6334344,7655659,694961
3509,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54631922,-122.6441402,7652852,692564
3510,Alameda,Theft of Motor Vehicle Parts or Accessories,45.5506693,-122.6322616,7655936,694069
3511,Alameda,Vandalism,45.5506693,-122.6322616,7655936,694069
3512,Alameda,All Other Larceny,45.54950137,-122.6314758,7656126,693638
3513,Alameda,Theft From Motor Vehicle,45.54667512,-122.6311978,7656170,692606
3514,Alameda,All Other Larceny,45.55182462,-122.6312116,7656216,694483
3515,Alameda,Motor Vehicle Theft,45.54707859,-122.6390185,7654171,692806
3516,Alameda,Motor Vehicle Theft,45.54708569,-122.6359809,7654949,692788
3517,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54785118,-122.6432024,7653107,693116
3518,Alameda,Identity Theft,45.54785118,-122.6432024,7653107,693116
3519,Alameda,Vandalism,45.5478509,-122.6421871,7653367,693109
3520,Alameda,Vandalism,45.54784745,-122.6410468,7653659,693100
3521,Alameda,Motor Vehicle Theft,45.54866297,-122.6430729,7653148,693411
3522,Alameda,Burglary,45.54866338,-122.6431979,7653116,693412
3523,Alameda,Vandalism,45.54876881,-122.6381256,7654416,693416
3524,Alameda,Burglary,45.54996583,-122.6441218,7652892,693893
3525,Alameda,Burglary,45.55012811,-122.6359939,7654975,693897
3526,Alameda,Vandalism,45.55043556,-122.6409999,7653696,694043
3527,Alameda,Motor Vehicle Theft,45.55247184,-122.6359572,7655007,694751
3528,Alameda,Burglary,45.55263362,-122.6338935,7655537,694796
3529,Alameda,Motor Vehicle Theft,45.5533868,-122.6409004,7653750,695118
3530,Alameda,Theft From Motor Vehicle,45.55335526,-122.6316713,7656113,695044
3531,Alameda,All Other Larceny,45.55335526,-122.6316713,7656113,695044
3532,Alameda,Burglary,45.55401109,-122.6359526,7655023,695312
3533,Alameda,All Other Larceny,45.5540021,-122.6337771,7655580,695294
3534,Alameda,Theft of Motor Vehicle Parts or Accessories,45.55459849,-122.6378571,7654541,695539
3535,Alameda,Theft From Motor Vehicle,45.55457591,-122.6327208,7655856,695496
3536,Alameda,Motor Vehicle Theft,45.55474997,-122.6307318,7656367,695546
3537,Alameda,Theft of Motor Vehicle Parts or Accessories,45.55515105,-122.6400102,7653995,695755
3538,Alameda,Motor Vehicle Theft,45.54823772,-122.6380626,7654427,693222
3539,Alameda,Theft From Motor Vehicle,45.54516718,-122.6370528,7654656,692096
3540,Alameda,Motor Vehicle Theft,45.54527792,-122.632715,7655768,692107
3541,Alameda,Aggravated Assault,45.55080743,-122.6328018,7655799,694123
3542,Alameda,Weapons Law Violations,45.55080743,-122.6328018,7655799,694123
3543,Alameda,Theft From Motor Vehicle,45.54669885,-122.6390784,7654152,692668
3544,Alameda,Theft From Motor Vehicle,45.55179214,-122.6338502,7655540,694489
3545,Alameda,Simple Assault,45.54362066,-122.6401025,7653860,691553
3546,Arbor Lodge,Burglary,45.57460475,-122.6795216,7644069,703116
3547,Arbor Lodge,Burglary,45.56986107,-122.6799526,7643912,701390
3548,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57395523,-122.6806413,7643776,702887
3549,Arbor Lodge,Theft From Motor Vehicle,45.57395523,-122.6806413,7643776,702887
3550,Arbor Lodge,Theft From Motor Vehicle,45.56985501,-122.6807063,7643719,701393
3551,Arbor Lodge,Motor Vehicle Theft,45.56637789,-122.6816234,7643450,700132
3552,Arbor Lodge,Motor Vehicle Theft,45.57181225,-122.6812308,7643604,702110
3553,Arbor Lodge,Motor Vehicle Theft,45.57181225,-122.6812308,7643604,702110
3554,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.57181225,-122.6812308,7643604,702110
3555,Arbor Lodge,Burglary,45.57710301,-122.6816101,7643559,704041
3556,Arbor Lodge,Burglary,45.57710301,-122.6816101,7643559,704041
3557,Arbor Lodge,Vandalism,45.57710301,-122.6816101,7643559,704041
3558,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.57710301,-122.6816101,7643559,704041
3559,Arbor Lodge,Motor Vehicle Theft,45.56635114,-122.683177,7643052,700133
3560,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.56635114,-122.683177,7643052,700133
3561,Arbor Lodge,Vandalism,45.56635114,-122.683177,7643052,700133
3562,Arbor Lodge,All Other Larceny,45.56917199,-122.6827231,7643196,701158
3563,Arbor Lodge,Theft From Motor Vehicle,45.5734685,-122.6837361,7642979,702731
3564,Arbor Lodge,All Other Larceny,45.5734685,-122.6837361,7642979,702731
3565,Arbor Lodge,Theft From Motor Vehicle,45.5677642,-122.6836064,7642956,700651
3566,Arbor Lodge,All Other Larceny,45.56767639,-122.6836069,7642955,700619
3567,Arbor Lodge,Shoplifting,45.57707953,-122.683715,7643020,704047
3568,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57707953,-122.683715,7643020,704047
3569,Arbor Lodge,Shoplifting,45.57707953,-122.683715,7643020,704047
3570,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57707953,-122.683715,7643020,704047
3571,Arbor Lodge,Motor Vehicle Theft,45.56985147,-122.6834953,7643005,701411
3572,Arbor Lodge,Motor Vehicle Theft,45.56985147,-122.6834953,7643005,701411
3573,Arbor Lodge,Motor Vehicle Theft,45.56637076,-122.6851777,7642540,700154
3574,Arbor Lodge,Motor Vehicle Theft,45.56909225,-122.6846106,7642712,701142
3575,Arbor Lodge,All Other Larceny,45.57707885,-122.6844729,7642826,704052
3576,Arbor Lodge,Burglary,45.56769207,-122.6858145,7642390,700640
3577,Arbor Lodge,Simple Assault,45.56769207,-122.6858145,7642390,700640
3578,Arbor Lodge,Motor Vehicle Theft,45.56769207,-122.6858145,7642390,700640
3579,Arbor Lodge,Theft From Motor Vehicle,45.56769207,-122.6858145,7642390,700640
3580,Arbor Lodge,Vandalism,45.56909697,-122.6858062,7642406,701152
3581,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.56909697,-122.6858062,7642406,701152
3582,Arbor Lodge,Vandalism,45.56838622,-122.6858139,7642397,700893
3583,Arbor Lodge,Burglary,45.57707824,-122.685516,7642559,704059
3584,Arbor Lodge,Arson,45.57707964,-122.68602,7642430,704063
3585,Arbor Lodge,Vandalism,45.57707824,-122.685516,7642559,704059
3586,Arbor Lodge,Motor Vehicle Theft,45.56995273,-122.6858196,7642411,701464
3587,Arbor Lodge,Vandalism,45.56995273,-122.6858196,7642411,701464
3588,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.56995273,-122.6858196,7642411,701464
3589,Arbor Lodge,All Other Larceny,45.56986493,-122.6858201,7642410,701432
3590,Arbor Lodge,Motor Vehicle Theft,45.57355877,-122.6867829,7642200,702785
3591,Arbor Lodge,Identity Theft,45.57347096,-122.6867834,7642199,702753
3592,Arbor Lodge,Burglary,45.56987031,-122.686836,7642150,701441
3593,Arbor Lodge,Burglary,45.56987031,-122.686836,7642150,701441
3594,Arbor Lodge,Theft From Motor Vehicle,45.57346839,-122.6880725,7641869,702761
3595,Arbor Lodge,Motor Vehicle Theft,45.57527004,-122.6875442,7642022,703414
3596,Arbor Lodge,Vandalism,45.57527004,-122.6875442,7642022,703414
3597,Arbor Lodge,Vandalism,45.56987248,-122.6880197,7641847,701450
3598,Arbor Lodge,Vandalism,45.56987248,-122.6880197,7641847,701450
3599,Arbor Lodge,Burglary,45.56987248,-122.6880197,7641847,701450
3600,Arbor Lodge,Burglary,45.56987248,-122.6880197,7641847,701450
3601,Arbor Lodge,Aggravated Assault,45.57708702,-122.6886613,7641754,704084
3602,Arbor Lodge,Weapons Law Violations,45.57708702,-122.6886613,7641754,704084
3603,Arbor Lodge,Theft From Motor Vehicle,45.57708514,-122.6891926,7641618,704087
3604,Arbor Lodge,All Other Larceny,45.57708514,-122.6891926,7641618,704087
3605,Arbor Lodge,Motor Vehicle Theft,45.56987755,-122.6889066,7641620,701458
3606,Arbor Lodge,All Other Larceny,45.56987755,-122.6889066,7641620,701458
3607,Arbor Lodge,Theft From Motor Vehicle,45.57266876,-122.6888581,7641660,702475
3608,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.57708341,-122.6897161,7641484,704090
3609,Arbor Lodge,Motor Vehicle Theft,45.56996681,-122.6895507,7641456,701495
3610,Arbor Lodge,All Other Larceny,45.56996634,-122.6900078,7641339,701498
3611,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.56815954,-122.6919575,7640822,700853
3612,Arbor Lodge,Vandalism,45.56815954,-122.6919575,7640822,700853
3613,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57707977,-122.6929313,7640661,704111
3614,Arbor Lodge,Motor Vehicle Theft,45.57170089,-122.6940086,7640332,702158
3615,Arbor Lodge,Vandalism,45.57707953,-122.693951,7640400,704118
3616,Arbor Lodge,Vandalism,45.57707953,-122.693951,7640400,704118
3617,Arbor Lodge,Vandalism,45.57707953,-122.693951,7640400,704118
3618,Arbor Lodge,Robbery,45.57708378,-122.6951662,7640089,704128
3619,Arbor Lodge,Robbery,45.57708378,-122.6951662,7640089,704128
3620,Arbor Lodge,Robbery,45.57708378,-122.6951662,7640089,704128
3621,Arbor Lodge,Robbery,45.57708378,-122.6951662,7640089,704128
3622,Arbor Lodge,Robbery,45.57708378,-122.6951662,7640089,704128
3623,Arbor Lodge,Robbery,45.57708378,-122.6951662,7640089,704128
3624,Arbor Lodge,Vandalism,45.57708378,-122.6951662,7640089,704128
3625,Arbor Lodge,Shoplifting,45.57708378,-122.6951662,7640089,704128
3626,Arbor Lodge,Shoplifting,45.57708378,-122.6951662,7640089,704128
3627,Arbor Lodge,All Other Larceny,45.57708184,-122.6959865,7639879,704133
3628,Arbor Lodge,Burglary,45.57708184,-122.6959865,7639879,704133
3629,Arbor Lodge,All Other Larceny,45.57708184,-122.6959865,7639879,704133
3630,Arbor Lodge,Vandalism,45.57708184,-122.6959865,7639879,704133
3631,Arbor Lodge,Simple Assault,45.56998819,-122.6960557,7639791,701548
3632,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3633,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3634,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3635,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3636,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.56998819,-122.6960557,7639791,701548
3637,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3638,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.56998819,-122.6960557,7639791,701548
3639,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3640,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3641,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.56998819,-122.6960557,7639791,701548
3642,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3643,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3644,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.56998819,-122.6960557,7639791,701548
3645,Arbor Lodge,Shoplifting,45.56998819,-122.6960557,7639791,701548
3646,Arbor Lodge,Arson,45.57170322,-122.6970479,7639554,702180
3647,Arbor Lodge,Motor Vehicle Theft,45.57708425,-122.6968657,7639654,704140
3648,Arbor Lodge,Vandalism,45.57708425,-122.6968657,7639654,704140
3649,Arbor Lodge,Motor Vehicle Theft,45.56998807,-122.6970674,7639532,701555
3650,Arbor Lodge,Motor Vehicle Theft,45.56998807,-122.6970674,7639532,701555
3651,Arbor Lodge,Motor Vehicle Theft,45.5758172,-122.6978441,7639391,703685
3652,Arbor Lodge,Theft From Building,45.57708474,-122.6977018,7639440,704146
3653,Arbor Lodge,Vandalism,45.57708474,-122.6977018,7639440,704146
3654,Arbor Lodge,Vandalism,45.57708474,-122.6977018,7639440,704146
3655,Arbor Lodge,Motor Vehicle Theft,45.57458235,-122.6978548,7639376,703235
3656,Arbor Lodge,Theft From Building,45.57708248,-122.6985377,7639226,704151
3657,Arbor Lodge,Motor Vehicle Theft,45.56729556,-122.6992717,7638941,700589
3658,Arbor Lodge,Aggravated Assault,45.57365159,-122.6996119,7638917,702908
3659,Arbor Lodge,Motor Vehicle Theft,45.57051447,-122.7002442,7638724,701769
3660,Arbor Lodge,Motor Vehicle Theft,45.566643,-122.6914888,7640927,700297
3661,Arbor Lodge,Theft From Motor Vehicle,45.56668861,-122.686354,7642242,700278
3662,Arbor Lodge,Motor Vehicle Theft,45.56666213,-122.6839936,7642846,700252
3663,Arbor Lodge,All Other Larceny,45.56665486,-122.6875519,7641935,700274
3664,Arbor Lodge,Motor Vehicle Theft,45.56664588,-122.689321,7641482,700283
3665,Arbor Lodge,Simple Assault,45.56667042,-122.6955171,7639896,700335
3666,Arbor Lodge,Motor Vehicle Theft,45.56667078,-122.6956421,7639864,700336
3667,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.56677565,-122.6823496,7643268,700282
3668,Arbor Lodge,Burglary,45.56677565,-122.6823496,7643268,700282
3669,Arbor Lodge,Burglary,45.56677565,-122.6823496,7643268,700282
3670,Arbor Lodge,Motor Vehicle Theft,45.56677565,-122.6823496,7643268,700282
3671,Arbor Lodge,Theft From Motor Vehicle,45.56677565,-122.6823496,7643268,700282
3672,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.56677565,-122.6823496,7643268,700282
3673,Arbor Lodge,Theft From Building,45.56677565,-122.6823496,7643268,700282
3674,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.56677565,-122.6823496,7643268,700282
3675,Arbor Lodge,Theft From Motor Vehicle,45.56677565,-122.6823496,7643268,700282
3676,Arbor Lodge,Theft From Building,45.56677565,-122.6823496,7643268,700282
3677,Arbor Lodge,Vandalism,45.56677565,-122.6823496,7643268,700282
3678,Arbor Lodge,Vandalism,45.56677565,-122.6823496,7643268,700282
3679,Arbor Lodge,Vandalism,45.56677565,-122.6823496,7643268,700282
3680,Arbor Lodge,Vandalism,45.56677565,-122.6823496,7643268,700282
3681,Arbor Lodge,Vandalism,45.56677565,-122.6823496,7643268,700282
3682,Arbor Lodge,Theft From Motor Vehicle,45.56677565,-122.6823496,7643268,700282
3683,Arbor Lodge,Vandalism,45.56677565,-122.6823496,7643268,700282
3684,Arbor Lodge,Theft From Motor Vehicle,45.56677565,-122.6823496,7643268,700282
3685,Arbor Lodge,Burglary,45.56668136,-122.6976737,7639344,700354
3686,Arbor Lodge,Motor Vehicle Theft,45.56727436,-122.6944936,7640164,700548
3687,Arbor Lodge,Vandalism,45.56727436,-122.6944936,7640164,700548
3688,Arbor Lodge,Motor Vehicle Theft,45.56738884,-122.6864669,7642220,700534
3689,Arbor Lodge,Motor Vehicle Theft,45.56737296,-122.683982,7642856,700511
3690,Arbor Lodge,Motor Vehicle Theft,45.56737296,-122.683982,7642856,700511
3691,Arbor Lodge,Motor Vehicle Theft,45.567348,-122.6792233,7644074,700469
3692,Arbor Lodge,Motor Vehicle Theft,45.567348,-122.6792233,7644074,700469
3693,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.567348,-122.6792233,7644074,700469
3694,Arbor Lodge,Vandalism,45.567348,-122.6792233,7644074,700469
3695,Arbor Lodge,Aggravated Assault,45.56740582,-122.6800809,7643855,700496
3696,Arbor Lodge,Credit Card/ATM Fraud,45.56722069,-122.6901127,7641285,700498
3697,Arbor Lodge,All Other Larceny,45.56722069,-122.6901127,7641285,700498
3698,Arbor Lodge,Motor Vehicle Theft,45.56788113,-122.6946148,7640139,700770
3699,Arbor Lodge,Motor Vehicle Theft,45.56806993,-122.6839775,7642864,700765
3700,Arbor Lodge,Motor Vehicle Theft,45.56788644,-122.6956306,7639879,700779
3701,Arbor Lodge,Burglary,45.56788608,-122.6955056,7639911,700778
3702,Arbor Lodge,Credit Card/ATM Fraud,45.56788644,-122.6956306,7639879,700779
3703,Arbor Lodge,Vandalism,45.56806348,-122.6820046,7643369,700749
3704,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.56798703,-122.6792361,7644077,700702
3705,Arbor Lodge,Theft From Motor Vehicle,45.56808642,-122.6800719,7643864,700744
3706,Arbor Lodge,Motor Vehicle Theft,45.56789709,-122.6976583,7639360,700797
3707,Arbor Lodge,Theft From Motor Vehicle,45.56789399,-122.6975332,7639392,700795
3708,Arbor Lodge,Theft From Motor Vehicle,45.56789399,-122.6975332,7639392,700795
3709,Arbor Lodge,Theft From Motor Vehicle,45.56789709,-122.6976583,7639360,700797
3710,Arbor Lodge,All Other Larceny,45.56787582,-122.6935989,7640399,700761
3711,Arbor Lodge,Identity Theft,45.56862167,-122.6966395,7639628,701054
3712,Arbor Lodge,Theft From Motor Vehicle,45.56862167,-122.6966395,7639628,701054
3713,Arbor Lodge,Simple Assault,45.56856082,-122.6913441,7640983,700995
3714,Arbor Lodge,All Other Larceny,45.56878826,-122.6864583,7642236,701044
3715,Arbor Lodge,Theft From Motor Vehicle,45.56862957,-122.6986672,7639109,701071
3716,Arbor Lodge,Theft From Motor Vehicle,45.56863343,-122.6875305,7641960,700995
3717,Arbor Lodge,Vandalism,45.56864176,-122.6885347,7641703,701005
3718,Arbor Lodge,Motor Vehicle Theft,45.56864213,-122.6886598,7641671,701006
3719,Arbor Lodge,Motor Vehicle Theft,45.56878452,-122.6811652,7643591,701006
3720,Arbor Lodge,Theft From Motor Vehicle,45.56878415,-122.6810402,7643623,701005
3721,Arbor Lodge,Theft From Motor Vehicle,45.56855325,-122.6904454,7641213,700986
3722,Arbor Lodge,Motor Vehicle Theft,45.56862703,-122.6976515,7639369,701063
3723,Arbor Lodge,All Other Larceny,45.56862703,-122.6976515,7639369,701063
3724,Arbor Lodge,Motor Vehicle Theft,45.56860815,-122.6934671,7640440,701027
3725,Arbor Lodge,Theft From Motor Vehicle,45.56860815,-122.6934671,7640440,701027
3726,Arbor Lodge,Motor Vehicle Theft,45.5695288,-122.6863267,7642277,701313
3727,Arbor Lodge,All Other Larceny,45.569501,-122.6886538,7641681,701319
3728,Arbor Lodge,Burglary,45.56950823,-122.6956152,7639899,701370
3729,Arbor Lodge,Motor Vehicle Theft,45.5695264,-122.681975,7643391,701282
3730,Arbor Lodge,Shoplifting,45.5695264,-122.681975,7643391,701282
3731,Arbor Lodge,Vandalism,45.5695264,-122.681975,7643391,701282
3732,Arbor Lodge,Robbery,45.5695264,-122.681975,7643391,701282
3733,Arbor Lodge,Theft From Motor Vehicle,45.56950847,-122.6823415,7643297,701278
3734,Arbor Lodge,Theft From Building,45.56950847,-122.6823415,7643297,701278
3735,Arbor Lodge,Identity Theft,45.56950847,-122.6823415,7643297,701278
3736,Arbor Lodge,Motor Vehicle Theft,45.5695264,-122.681975,7643391,701282
3737,Arbor Lodge,Motor Vehicle Theft,45.5695264,-122.681975,7643391,701282
3738,Arbor Lodge,Aggravated Assault,45.56950847,-122.6823415,7643297,701278
3739,Arbor Lodge,Burglary,45.56950847,-122.6823415,7643297,701278
3740,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.5695264,-122.681975,7643391,701282
3741,Arbor Lodge,Theft From Motor Vehicle,45.5695264,-122.681975,7643391,701282
3742,Arbor Lodge,Shoplifting,45.5695264,-122.681975,7643391,701282
3743,Arbor Lodge,Theft From Motor Vehicle,45.5695264,-122.681975,7643391,701282
3744,Arbor Lodge,Burglary,45.5695361,-122.68103,7643633,701279
3745,Arbor Lodge,Theft From Motor Vehicle,45.57022977,-122.6944673,7640200,701625
3746,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57020569,-122.6863684,7642273,701560
3747,Arbor Lodge,Identity Theft,45.57023878,-122.6843384,7642793,701558
3748,Arbor Lodge,Motor Vehicle Theft,45.57023076,-122.6925454,7640692,701612
3749,Arbor Lodge,Burglary,45.57036979,-122.6872615,7642046,701626
3750,Arbor Lodge,Burglary,45.57036979,-122.6872615,7642046,701626
3751,Arbor Lodge,Burglary,45.57036979,-122.6872615,7642046,701626
3752,Arbor Lodge,Vandalism,45.57036979,-122.6872615,7642046,701626
3753,Arbor Lodge,Motor Vehicle Theft,45.57036979,-122.6872615,7642046,701626
3754,Arbor Lodge,Robbery,45.57024055,-122.6954834,7639940,701636
3755,Arbor Lodge,Shoplifting,45.57024055,-122.6954834,7639940,701636
3756,Arbor Lodge,Shoplifting,45.57024055,-122.6954834,7639940,701636
3757,Arbor Lodge,Theft From Motor Vehicle,45.57018647,-122.6831918,7643086,701531
3758,Arbor Lodge,Burglary,45.5701924,-122.6823014,7643314,701527
3759,Arbor Lodge,Burglary,45.5701924,-122.6823014,7643314,701527
3760,Arbor Lodge,Burglary,45.5701924,-122.6823014,7643314,701527
3761,Arbor Lodge,Robbery,45.57038557,-122.6819533,7643405,701595
3762,Arbor Lodge,Shoplifting,45.5701924,-122.6823014,7643314,701527
3763,Arbor Lodge,Arson,45.57038557,-122.6819533,7643405,701595
3764,Arbor Lodge,Shoplifting,45.5701924,-122.6823014,7643314,701527
3765,Arbor Lodge,Credit Card/ATM Fraud,45.57038557,-122.6819533,7643405,701595
3766,Arbor Lodge,All Other Larceny,45.5701924,-122.6823014,7643314,701527
3767,Arbor Lodge,Motor Vehicle Theft,45.57038953,-122.6798635,7643940,701582
3768,Arbor Lodge,Vandalism,45.57038953,-122.6798635,7643940,701582
3769,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57038953,-122.6798635,7643940,701582
3770,Arbor Lodge,Burglary,45.57084405,-122.6964951,7639687,701863
3771,Arbor Lodge,Motor Vehicle Theft,45.57082601,-122.6843336,7642800,701772
3772,Arbor Lodge,Theft From Motor Vehicle,45.57083985,-122.6925455,7640698,701834
3773,Arbor Lodge,Vandalism,45.57080398,-122.6853485,7642540,701771
3774,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57109445,-122.6808868,7643685,701846
3775,Arbor Lodge,All Other Larceny,45.57108902,-122.6798709,7643945,701837
3776,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57082896,-122.6905255,7641215,701816
3777,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57084415,-122.6974951,7639431,701870
3778,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.57084415,-122.6974951,7639431,701870
3779,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.57139924,-122.6831877,7643099,701973
3780,Arbor Lodge,All Other Larceny,45.57141339,-122.6822976,7643327,701972
3781,Arbor Lodge,Motor Vehicle Theft,45.57153506,-122.6819585,7643415,702014
3782,Arbor Lodge,Motor Vehicle Theft,45.57141339,-122.6822976,7643327,701972
3783,Arbor Lodge,Vandalism,45.57141339,-122.6822976,7643327,701972
3784,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.5714301,-122.6992797,7638980,702096
3785,Arbor Lodge,False Pretenses/Swindle/Confidence Game,45.5714301,-122.6992797,7638980,702096
3786,Arbor Lodge,Vandalism,45.5714301,-122.6992797,7638980,702096
