5604,SE,104th,Ave,5604 SE 104th Ave,Portland,97266,-122.5557312,45.4816388,"5604 SE 104th Ave, Portland, OR 97266",365000,LENTS
10028,SE,Ellis,St,10028 SE Ellis St,Portland,97266,-122.5598795,45.48184973,"10028 SE Ellis St, Portland, OR 97266",225000,LENTS
9640,SE,Ellis,St,9640 SE Ellis St,Portland,97266,-122.5642742,45.48196054,"9640 SE Ellis St, Portland, OR 97266",379000,LENTS
5509,SE,111th,Ave,5509 SE 111th Ave,Portland,97266,-122.5490352,45.4826251,"5509 SE 111th Ave, Portland, OR 97266",358000,LENTS
9929,SE,Harold,St,9929 SE Harold St,Portland,97266,-122.5612619,45.48265306,"9929 SE Harold St, Portland, OR 97266",299000,LENTS
11014,SE,Harold,St,11014 SE Harold St,Portland,97266,-122.5498142,45.48279094,"11014 SE Harold St, Portland, OR 97266",410000,LENTS
5435,SE,104th,Ave,5435 SE 104th Ave,Portland,97266,-122.5557202,45.4828375,"5435 SE 104th Ave, Portland, OR 97266",314000,LENTS
10026,SE,Insley,St,10026 SE Insley St,Portland,97266,-122.5601433,45.48334155,"10026 SE Insley St, Portland, OR 97266",450000,LENTS
8730,SE,Steele,St,8730 SE Steele St,Portland,97266,-122.572804,45.48463253,"8730 SE Steele St, Portland, OR 97266",439900,LENTS
10420,SE,Raymond,St,10420 SE Raymond St,Portland,97266,-122.5551526,45.48574409,"10420 SE Raymond St, Portland, OR 97266",445000,LENTS
5022,SE,97th,Ave,5022 SE 97th Ave,Portland,97266,-122.5634371,45.48579426,"5022 SE 97th Ave, Portland, OR 97266",424900,LENTS
4856,SE,99th,Ave,4856 SE 99th Ave,Portland,97266,-122.5621777,45.48665956,"4856 SE 99th Ave, Portland, OR 97266",549900,LENTS
4852,SE,92nd,Ave,4852 SE 92nd Ave,Portland,97266,-122.5685425,45.48691701,"4852 SE 92nd Ave, Portland, OR 97266",260000,LENTS
4832,SE,92nd,Ave,4832 SE 92nd Ave,Portland,97266,-122.5685425,45.48724299,"4832 SE 92nd Ave, Portland, OR 97266",998900,LENTS
4824,SE,92nd,Ave,4824 SE 92nd Ave,Portland,97266,-122.5685425,45.487389,"4824 SE 92nd Ave, Portland, OR 97266",998900,LENTS
10630,SE,Long,St,10630 SE Long St,Portland,97266,-122.5533211,45.48812606,"10630 SE Long St, Portland, OR 97266",389900,LENTS
4631,SE,86th,Ave,4631 SE 86th Ave,Portland,97266,-122.5748945,45.48862248,"4631 SE 86th Ave, Portland, OR 97266",369900,LENTS
9922,SE,Pardee,St,9922 SE Pardee St,Portland,97266,-122.5616883,45.48875697,"9922 SE Pardee St, Portland, OR 97266",389900,LENTS
4546,SE,97th,Ave,4546 SE 97th Ave,Portland,97266,-122.5634225,45.48919999,"4546 SE 97th Ave, Portland, OR 97266",377500,LENTS
4518,SE,87th,Ave,4518 SE 87th Ave,Portland,97266,-122.5732425,45.48978601,"4518 SE 87th Ave, Portland, OR 97266",375000,LENTS
10734,SE,Cora,St,10734 SE Cora St,Portland,97266,-122.5524787,45.49064763,"10734 SE Cora St, Portland, OR 97266",335000,LENTS
8710,SE,Cora,St,8710 SE Cora St,Portland,97266,-122.572831,45.49102222,"8710 SE Cora St, Portland, OR 97266",499900,LENTS
11126,SE,Boise,St,11126 SE Boise St,Portland,97266,-122.548871,45.49154253,"11126 SE Boise St, Portland, OR 97266",278000,LENTS
3836,SE,105th,Ave,3836 SE 105th Ave,Portland,97266,-122.5544735,45.49436098,"3836 SE 105th Ave, Portland, OR 97266",359000,LENTS
3671,SE,86th,Ave,3671 SE 86th Ave,Portland,97266,-122.574053,45.49543797,"3671 SE 86th Ave, Portland, OR 97266",475000,LENTS
