Column1,Address,Price,Zip Code,Size,Neighbourhood
1067,"8027 SE 52nd Ave, Portland, OR 97206",420000,97206,1452,Foster Powell
1083,"5610 SE Steele St, Portland, OR 97206",475000,97206,1459,Foster Powell
1094,"4326 SE Ivon St, Portland, OR 97206",499900,97206,1862,Foster Powell
1095,"7049 SE Taggart St, Portland, OR 97206",437500,97206,870,Foster Powell
1096,"5222 SE Center St, Portland, OR 97206",600000,97206,2848,Foster Powell
1098,"4631 SE 75th Ave, Portland, OR 97206",424000,97206,1390,Foster Powell
1117,"2836 SE 47th Ave, Portland, OR 97206",429900,97206,1482,Foster Powell
1125,"8108 SE Rhine St, Portland, OR 97206",329900,97206,980,Foster Powell
1154,"6071 SE Lexington St, Portland, OR 97206",499950,97206,1696,Foster Powell
1164,"4233 SE Malden St, Portland, OR 97206",499000,97206,1736,Foster Powell
1192,"4207 SE Henderson St, Portland, OR 97206",695000,97206,1878,Foster Powell
1196,"6415 SE Tibbetts St, Portland, OR 97206",489500,97206,1416,Foster Powell
1206,"4404 SE 64th Ave, Portland, OR 97206",579900,97206,1972,Foster Powell
1216,"7502 SE 64th Ave, Portland, OR 97206",399500,97206,1686,Foster Powell
1227,"4914 SE Henderson St, Portland, OR 97206",614950,97206,1597,Foster Powell
1228,"4930 SE Henderson St, Portland, OR 97206",599950,97206,1551,Foster Powell
1231,"6204 SE Flavel St, Portland, OR 97206",550000,97206,1920,Foster Powell
1233,"8114 SE 63rd Ave, Portland, OR 97206",384999,97206,676,Foster Powell
1234,"4607 SE Knapp St, Portland, OR 97206",719800,97206,2162,Foster Powell
1247,"6616 SE 75th Ave, Portland, OR 97206",410000,97206,950,Foster Powell
1283,"6604 SE Insley St Unit C, Portland, OR 97206",385000,97206,791,Foster Powell
1295,"4014 SE 48th Ave, Portland, OR 97206",525000,97206,1337,Foster Powell
1321,"5339 SE 70th Ave, Portland, OR 97206",435000,97206,1722,Foster Powell
1327,"7020 SE 42nd Ave, Portland, OR 97206",672000,97206,2041,Foster Powell
1359,"4365 SE 67th Ave, Portland, OR 97206",475000,97206,979,Foster Powell
1364,"3136 SE 81st Ave, Portland, OR 97206",385000,97206,830,Foster Powell
1391,"3218 SE 53rd Ave, Portland, OR 97206",599000,97206,2301,Foster Powell
1401,"4424 SE Crystal Springs Blvd, Portland, OR 97206",678000,97206,2577,Foster Powell
1430,"3404 SE 66th Ave, Portland, OR 97206",579000,97206,1883,Foster Powell
1490,"7827 SE 54th Ave, Portland, OR 97206",699900,97206,2955,Foster Powell
1496,"5030 SE 49th Ave, Portland, OR 97206",675000,97206,2100,Foster Powell
1500,"4930 SE 71st Ave, Portland, OR 97206",595000,97206,2904,Foster Powell
1502,"6710 SE 81st Ave, Portland, OR 97206",249900,97206,1150,Foster Powell
1525,"6036 SE Harney St, Portland, OR 97206",299900,97206,924,Foster Powell
1527,"7605 SE Carlton St, Portland, OR 97206",624900,97206,2464,Foster Powell
1532,"4234 SE Rex St, Portland, OR 97206",580000,97206,1718,Foster Powell
1552,"9218 SE 55th Ave, Portland, OR 97206",695000,97206,2207,Foster Powell
1554,"5729 SE Francis St, Portland, OR 97206",364999,97206,1700,Foster Powell
1558,"6538 SE 64th Ave Unit B, Portland, OR 97206",399950,97206,787,Foster Powell
