,Address,Price,Zip Code,Size,Neighbourhood
2071,"1616 S Harbor Way Unit 408, Portland, OR 97201",519000,97201,1297,Hillsdale
2100,"1017 SW Rivington Dr, Portland, OR 97201",4585000,97201,6871,Hillsdale
2102,"1803 SW Hawthorne Ter, Portland, OR 97201",1100000,97201,6441,Hillsdale
2106,"2221 SW 1st Ave Apt 623, Portland, OR 97201",325000,97201,1332,Hillsdale
2109,"3017 SW 4th Ave, Portland, OR 97201",575000,97201,1546,Hillsdale
2120,"SW Cardinell Way, Portland, OR 97201",3250000,97201,5239,Hillsdale
2130,"2395 SW Montgomery Dr, Portland, OR 97201",715000,97201,2773,Hillsdale
2178,"1841 SW Montgomery Dr, Portland, OR 97201",3500000,97201,7448,Hillsdale
2184,"1634 SW Myrtle St, Portland, OR 97201",2999000,97201,8413,Hillsdale
1,"2939 SE Beyee Blvd, Portland, OR 97202",1675000,97202,4592,Eastmoreland
12,"1624 SE Rex St, Portland, OR 97202",619900,97202,2080,Eastmoreland
33,"3362 SE Tibbetts St, Portland, OR 97202",569000,97202,1931,Eastmoreland
56,"3730 SE 33rd Pl, Portland, OR 97202",385000,97202,1102,Eastmoreland
70,"7504 SE 13th Ave, Portland, OR 97202",849000,97202,2599,Eastmoreland
87,"6506 SE 19th Ave, Portland, OR 97202",635000,97202,1436,Eastmoreland
97,"5523 SE Cesar E Chavez Blvd, Portland, OR 97202",515000,97202,2088,Eastmoreland
111,"6406 SE 34th Ave, Portland, OR 97202",1299900,97202,3802,Eastmoreland
135,"3234 SE 24th Ave, Portland, OR 97202",599000,97202,2372,Eastmoreland
141,"3776 SE 8th Ave, Portland, OR 97202",487500,97202,2228,Eastmoreland
146,"3673 SE Rex St, Portland, OR 97202",729900,97202,1693,Eastmoreland
182,"3107 SE Crystal Springs Blvd, Portland, OR 97202",650000,97202,1862,Eastmoreland
186,"2207 SE Tibbetts St, Portland, OR 97202",731000,97202,2780,Eastmoreland
188,"7825 SE Reed College Pl, Portland, OR 97202",915000,97202,3363,Eastmoreland
206,"3821 SE Tenino St, Portland, OR 97202",849900,97202,2532,Eastmoreland
209,"5135 SE 41st Ave, Portland, OR 97202",549000,97202,2088,Eastmoreland
225,"3924 SE Woodward St, Portland, OR 97202",825000,97202,3119,Eastmoreland
244,"7222 SE 36th Ave, Portland, OR 97202",675000,97202,1712,Eastmoreland
262,"3112 SE Gladstone St, Portland, OR 97202",650000,97202,3789,Eastmoreland
270,"3333 SE Rex St, Portland, OR 97202",599000,97202,2362,Eastmoreland
277,"5225 SE 37th Ave, Portland, OR 97202",800000,97202,2204,Eastmoreland
281,"5820 SE 20th Ave, Portland, OR 97202",495000,97202,1505,Eastmoreland
