Address,Price,Beds,Baths,Sizes
"5310 NE 41st Ave, Portland, OR 97211","$500,000 ",3,2,"2,084sqft"
"6925 NE 23rd Ave, Portland, OR 97211","$349,000 ",3,1,"2,308sqft"
"1310 NW Naito Pkwy Unit 607, Portland, OR 97209","$714,950 ",2,3,"1,595sqft"
"7533 NE Mason St, Portland, OR 97218","$475,000 ",3,2,"1,420sqft"
"5759 NE Ainsworth St, Portland, OR 97218","$590,000 ",4,3,"2,246sqft"
"5734 N Montana Ave Unit 1, Portland, OR 97217","$330,000 ",2,1,915sqft
"5833 NE Wasco St, Portland, OR 97213","$589,500 ",2,2,"2,130sqft"
"2741 SE 141st Ave Unit A, Portland, OR 97236","$375,000 ",3,2,"1,312sqft"
"232 N Hayden Bay Dr, Portland, OR 97217","$425,000 ",4,3,"1,927sqft"
"7640 SW 30th Dr, Portland, OR 97219","$465,000 ",3,1,"1,050sqft"
"4824 NE 37th Ave, Portland, OR 97211","$625,000 ",5,2,"2,442sqft"
"8818 SW 82nd Ave, Portland, OR 97223","$850,000 ",5,4,"2,908sqft"
"2333 SE 32nd Ave, Portland, OR 97214","$636,500 ",2,3,"2,116sqft"
"6644 SE 47th Ave, Portland, OR 97206","$649,000 ",4,3,"2,260sqft"
"7523 SE Holgate Blvd, Portland, OR 97206","$399,900 ",2,1,"1,628sqft"
"11126 SE Boise St, Portland, OR 97266","$278,000 ",2,1,620sqft
"8604 SW 41st Ave, Portland, OR 97219","$628,000 ",3,2,"1,624sqft"
"1534 NW Mayfield Rd, Portland, OR 97229","$895,000 ",4,4,"3,750sqft"
"5906 NE Sumner St, Portland, OR 97218","$325,000 ",2,1,863sqft
"17010 NW Sheltered Nook Rd, Portland, OR 97231","$2,490,000 ",6,6,"7,719sqft"
"6331 SE Dunbar Dr, Portland, OR 97236","$549,900 ",4,3,"2,233sqft"
"15479 NW Westbrook Way, Portland, OR 97229","$760,000 ",5,3,"2,444sqft"
"15751 NE Weidler St, Portland, OR 97230","$549,900 ",4,2,"2,187sqft"
"3519 SE 64th Ave, Portland, OR 97206","$385,000 ",3,2,"1,176sqft"
"7445 SE 32nd Ave, Portland, OR 97202","$925,000 ",4,3,"3,184sqft"
"3349 NE 162nd Ave, Portland, OR 97230","$249,900 ",3,2,"1,095sqft"
"4815 SE Rural St, Portland, OR 97206","$955,000 ",4,3,"2,597sqft"
"3621 SW Humphrey Blvd, Portland, OR 97221","$949,000 ",5,4,"4,399sqft"
"10729 SW 62nd Pl, Portland, OR 97219","$599,900 ",4,2,"1,979sqft"
"910 NW Naito Pkwy Apt I23, Portland, OR 97209","$379,000 ",2,2,"1,082sqft"
"232 NE Graham St, Portland, OR 97212","$725,000 ",3,2,"2,556sqft"
"904 SE 169th Dr, Portland, OR 97233","$375,000 ",3,1,984sqft
"414 SE 74th Ave, Portland, OR 97215","$748,000 ",3,2,"1,918sqft"
"1924 NE 153rd Pl, Portland, OR 97230","$429,900 ",3,2,"1,464sqft"
"17719 SW 81st Pl, Portland, OR 97224","$975,000 ",4,3,"2,738sqft"
"3716 NE 156th Ave, Portland, OR 97230","$365,000 ",3,2,"1,344sqft"
"2424 SE Caruthers St, Portland, OR 97214","$819,900 ",4,2,"3,038sqft"
"8121 SW 47th Ave, Portland, OR 97219","$1,039,000 ",4,2,"1,701sqft"
"3851 SW Canby St, Portland, OR 97219","$399,000 ",2,2,"1,040sqft"
"15132 SE Franklin St, Portland, OR 97236","$485,000 ",3,2,"2,208sqft"
"5520 SE Schiller St, Portland, OR 97206","$599,000 ",3,2,"2,149sqft"
"9088 SW Rystadt Ln, Portland, OR 97225","$494,900 ",3,3,"1,738sqft"
"319 SE 63rd Ave, Portland, OR 97215","$799,999 ",3,3,"2,626sqft"
"6058 NE 42nd Ave, Portland, OR 97218","$499,999 ",3,4,"1,471sqft"
"8558 SE 70th Ave Unit B, Portland, OR 97206","$399,000 ",2,2,892sqft
"710 NW Naito Pkwy Apt C3, Portland, OR 97209","$435,000 ",2,2,"1,076sqft"
"8554 SE 70th Ave Unit A, Portland, OR 97206","$499,000 ",3,3,"1,362sqft"
"1900 S River Dr Unit N112, Portland, OR 97201","$550,000 ",2,3,"1,885sqft"
"4636 SW Vesta St, Portland, OR 97219","$549,900 ",4,3,"1,765sqft"
"11825 SE Brookside Dr, Portland, OR 97266","$424,900 ",3,2,"1,186sqft"
"3915 SE Lambert St, Portland, OR 97202","$675,000 ",3,3,"2,061sqft"
"4611 SE Knapp St, Portland, OR 97206","$719,900 ",3,3,"2,162sqft"
"10707 S Southridge Dr, Portland, OR 97219","$1,395,000 ",4,4,"5,347sqft"
"2256 SW Humphrey Park Rd, Portland, OR 97221","$1,150,000 ",3,3,"3,440sqft"
"1738 NW Larkin Ter Lot 3, Portland, OR 97229","$1,050,000 ",5,4,"3,100sqft"
"17064 SW Eldorado Dr Unit 40, Portland, OR 97224","$89,999 ",2,2,"1,248sqft"
"1310 SE Rural St, Portland, OR 97202","$1,075,000 ",4,4,"2,700sqft"
"1730 S Harbor Way Unit 501, Portland, OR 97201","$425,000 ",2,2,"1,206sqft"
"2610 SE 36th Ave, Portland, OR 97202","$930,000 ",4,4,"2,684sqft"
"7360 SE 156th Ave, Portland, OR 97236","$749,900 ",5,4,"2,620sqft"
"9536 NW Arborview Dr, Portland, OR 97229","$766,000 ",5,3,"2,608sqft"
"5320 SE Cooper St, Portland, OR 97206","$279,000 ",2,1,790sqft
"1223 NE 187th Ln, Portland, OR 97230","$455,000 ",3,3,"1,714sqft"
"9454 N Tyler St Unit A, Portland, OR 97203","$399,999 ",2,2,"1,117sqft"
"1885 S Greenwood Rd, Portland, OR 97219","$3,600,000 ",5,6,"8,190sqft"
"2021 SW Main St Unit 43, Portland, OR 97205","$349,000 ",2,2,"1,026sqft"
"3346 E Burnside St, Portland, OR 97214","$849,000 ",4,3,"3,203sqft"
"4111 SW Comus St, Portland, OR 97219","$749,900 ",5,4,"3,180sqft"
"9748 N Hodge Ave, Portland, OR 97203","$489,900 ",3,3,"1,631sqft"
"8127 SE Taylor St, Portland, OR 97215","$398,000 ",3,1,936sqft
"1500 SW 5th Ave Unit 606, Portland, OR 97201","$599,000 ",2,2,"1,319sqft"
"1806 NE Bryant St, Portland, OR 97211","$339,900 ",2,1,632sqft
"4320 S Corbett Ave Apt 312, Portland, OR 97239","$355,000 ",2,2,"1,126sqft"
"9640 SE Ellis St, Portland, OR 97266","$379,000 ",3,2,"1,008sqft"
"1425 NE Bryant Ct, Portland, OR 97211","$429,000 ",3,2,"1,352sqft"
"2402 NW Miller Rd, Portland, OR 97229","$595,000 ",3,3,"1,837sqft"
"3001 NE Ainsworth St, Portland, OR 97211","$850,000 ",2,2,"2,662sqft"
"10830 SW Park Way, Portland, OR 97225","$700,000 ",4,4,"3,218sqft"
"1103 NE 80th Ave, Portland, OR 97213","$399,000 ",3,1,968sqft
"9917 NE Campaign St, Portland, OR 97220","$539,900 ",4,2,"1,840sqft"
"6314 SE 87th Ave, Portland, OR 97266","$430,000 ",3,2,"1,358sqft"
"6324 SE 87th Ave, Portland, OR 97266","$430,000 ",3,2,"1,358sqft"
"6320 SE 87th Ave, Portland, OR 97266","$430,000 ",3,2,"1,358sqft"
"7036 SW 35th Ave, Portland, OR 97219","$749,900 ",4,3,"1,744sqft"
"3203 SW 2nd Ave, Portland, OR 97239","$999,999 ",6,3,"2,977sqft"
"2600 SW 75th Ter, Portland, OR 97225","$749,900 ",3,3,"2,465sqft"
"2107 SE 148th Pl, Portland, OR 97233","$234,900 ",3,2,"1,180sqft"
"8567 N Mohawk Ave, Portland, OR 97203","$615,000 ",5,2,"2,400sqft"
"13843 NE Fremont St, Portland, OR 97230","$519,000 ",4,2,"2,464sqft"
"4024 SE 134th Ave, Portland, OR 97236","$379,900 ",3,2,"1,072sqft"
"1221 NE 136th Ave, Portland, OR 97230","$629,000 ",5,3,"3,365sqft"
"21345 NW Rock Creek Blvd, Portland, OR 97229","$575,000 ",3,2,"1,415sqft"
"10630 SE Long St, Portland, OR 97266","$389,900 ",3,1,"1,021sqft"
"8450 NW Thompson Rd, Portland, OR 97229","$550,000 ",3,1,"1,496sqft"
"8333 SW 4th Ave, Portland, OR 97219","$750,000 ",3,2,"2,321sqft"
"2425 NE 134th Pl, Portland, OR 97230","$449,950 ",3,2,"1,658sqft"
"14414 SE Alder Ct, Portland, OR 97233","$375,000 ",3,1,"1,152sqft"
"2768 SW Fairmount Blvd, Portland, OR 97239","$1,040,000 ",4,4,"3,196sqft"
"2350 NE 159th Ave, Portland, OR 97230","$429,000 ",3,2,"1,281sqft"
"6021 NE Failing St, Portland, OR 97213","$425,000 ",2,1,"1,848sqft"
"5850 NE 10th Ave, Portland, OR 97211","$510,000 ",3,3,"1,249sqft"
"2745 SE 167th Ave, Portland, OR 97236","$457,000 ",3,2,"1,341sqft"
"9449 NW Kaiser Rd, Portland, OR 97231","$1,165,000 ",5,2.5,"3,162sqft"
"10024 SE Taggart St, Portland, OR 97266","$340,000 ",3,2,"1,207sqft"
"9817 NE Irving St Apt 216, Portland, OR 97220","$235,000 ",2,1,741sqft
"5947 NE 14th Ave, Portland, OR 97211","$569,000 ",4,2,"2,384sqft"
"5103 NW 140th Ave, Portland, OR 97229","$650,000 ",4,3,"1,823sqft"
"2134 NE 19th Ave, Portland, OR 97212","$1,850,000 ",6,7,"5,766sqft"
"11980 SW Park Way, Portland, OR 97225","$535,000 ",3,2,"1,300sqft"
"14871 NE Thompson, Portland, OR 97230","$449,000 ",2,2,"1,676sqft"
"5250 SE 49th Ave, Portland, OR 97206","$685,000 ",4,2,"1,948sqft"
"15347 NW Aberdeen Dr, Portland, OR 97229","$539,000 ",2,3,"1,834sqft"
"14242 NW Bordeaux Ln, Portland, OR 97229","$899,900 ",2,2,"2,993sqft"
"8005 SW 62nd Pl, Portland, OR 97219","$474,900 ",3,2,"1,260sqft"
"12640 NE Hassalo St, Portland, OR 97230","$399,900 ",3,1,"1,040sqft"
"720 N Prescott St, Portland, OR 97217","$969,000 ",4,4,"2,378sqft"
"7852 NW Catalpa St, Portland, OR 97229","$489,900 ",3,3,"1,724sqft"
"3230 SE 152nd Ave, Portland, OR 97236","$449,000 ",3,2,"1,516sqft"
"3916 N Willis Blvd, Portland, OR 97217","$749,000 ",4,3,"2,332sqft"
"841 S Gaines St Unit 1610, Portland, OR 97239","$999,000 ",2,2,"1,668sqft"
"5238 N Princeton St, Portland, OR 97203","$559,900 ",3,1,"2,268sqft"
"919 NE Webster St, Portland, OR 97211","$839,000 ",4,2,"2,836sqft"
"1132 SW 19th Ave Unit 308, Portland, OR 97205","$479,000 ",2,2,977sqft
"5830 N Atlantic Ave, Portland, OR 97217","$650,000 ",3,2,"1,584sqft"
"9738 N Hodge Ave, Portland, OR 97203","$430,000 ",3,3,"1,577sqft"
"5700 SW Westdale Dr, Portland, OR 97221","$785,000 ",5,4,"3,463sqft"
"1927 NE 16th Ave, Portland, OR 97212","$1,450,000 ",5,4,"3,873sqft"
"3234 NE 53rd Ave, Portland, OR 97213","$625,000 ",3,2,"1,289sqft"
"7405 SW Hunt Club Ln, Portland, OR 97223","$2,650,000 ",4,3,"4,776sqft"
"416 NE Going St, Portland, OR 97211","$649,500 ",3,1,"1,596sqft"
"435 NE 73rd Ave, Portland, OR 97213","$574,900 ",3,2,"1,584sqft"
"6424 SE 70th Ave, Portland, OR 97206","$299,900 ",2,1,701sqft
"6420 SE 32nd Ave, Portland, OR 97202","$939,000 ",4,3,"2,701sqft"
"4546 SE 97th Ave, Portland, OR 97266","$377,500 ",3,2,"1,782sqft"
"3644 NE 19th Ave, Portland, OR 97212","$625,000 ",3,2,"1,644sqft"
"12419 SE Bush St, Portland, OR 97236","$349,500 ",2,2,"1,862sqft"
"9095 SW Taylor St, Portland, OR 97225","$1,975,000 ",5,4,"3,853sqft"
"3160 SE 24th Ave, Portland, OR 97202","$1,100,000 ",5,3,"2,668sqft"
"136 SE 141st Ave, Portland, OR 97233","$350,000 ",2,1,754sqft
"11850 NW Mellridge Ln, Portland, OR 97229","$1,285,000 ",6,5,"3,593sqft"
"5546 NE Mason St, Portland, OR 97218","$419,000 ",3,1,"1,116sqft"
"1935 SE 154th Ave, Portland, OR 97233","$460,000 ",4,2,"1,750sqft"
"14128 NE Rose Pkwy, Portland, OR 97230","$540,000 ",3,2,"3,208sqft"
"10808 SE Clay St, Portland, OR 97216","$599,000 ",5,2,"2,700sqft"
"645 SW 6th Ct, Portland, OR 97219","$575,000 ",3,2,"1,536sqft"
"9290 SW Durham Rd, Portland, OR 97224","$829,900 ",5,3,"4,312sqft"
"4009 NE 62nd Ave, Portland, OR 97213","$575,000 ",3,2,"1,404sqft"
"6516 SE 92nd Ave, Portland, OR 97266","$424,000 ",3,2,"2,016sqft"
"7306 SE Knight St, Portland, OR 97206","$449,999 ",3,1,"1,995sqft"
"4719 NE Flanders St, Portland, OR 97213","$775,000 ",3,3,"2,560sqft"
"7823 SE 32nd Ave, Portland, OR 97202","$749,900 ",3,2,"2,532sqft"
"18345 NE Glisan St Unit 10, Portland, OR 97230","$119,000 ",3,2,"1,456sqft"
"12465 SW Park Way, Portland, OR 97225","$585,000 ",3,2,"1,392sqft"
"1903 NE 58th Ave, Portland, OR 97213","$799,000 ",4,3,"2,616sqft"
"223 NE Ivy St Apt A, Portland, OR 97212","$515,000 ",3,4,"1,305sqft"
"1221 SE 53rd Ave, Portland, OR 97215","$675,000 ",3,2,"1,500sqft"
"2425 SE 62nd Ave, Portland, OR 97206","$597,000 ",3,1,"2,126sqft"
"5630 S Riverside Ln Apt 6, Portland, OR 97239","$359,900 ",2,2,"1,170sqft"
"11005 NE Fargo St, Portland, OR 97220","$525,000 ",5,2,"1,864sqft"
"3437 NE 126th Ave, Portland, OR 97230","$565,000 ",4,3,"3,180sqft"
"1155 SE Grant St, Portland, OR 97214","$680,900 ",3,4,"1,910sqft"
"4803 SW Hamilton St, Portland, OR 97221","$740,000 ",3,2,"2,144sqft"
"9208 N Wall Ave, Portland, OR 97203","$459,900 ",3,2,"1,390sqft"
"6340 SE Reed College Pl, Portland, OR 97202","$1,815,000 ",5,5,"5,843sqft"
"2309 SW 1st Ave Apt 1045, Portland, OR 97201","$375,000 ",3,2,"2,062sqft"
"4327 SE Ash St, Portland, OR 97215","$699,000 ",3,3,"1,685sqft"
"6916 NE Mallory Ave, Portland, OR 97211","$547,000 ",2,1,"1,664sqft"
"9455 NW Murlea Ln, Portland, OR 97229","$669,900 ",3,3,"1,824sqft"
"6703 SE 86th Ave, Portland, OR 97266","$379,900 ",3,1,"1,084sqft"
"10024 SW 36th Ct, Portland, OR 97219","$639,900 ",4,3,"1,977sqft"
"2410 N Blandena St, Portland, OR 97217","$850,000 ",5,3,"2,434sqft"
"514 SE 42nd Ave, Portland, OR 97215","$970,000 ",5,3,"2,175sqft"
"6321 NW Gerber Ter, Portland, OR 97229","$785,000 ",4,3,"2,466sqft"
"1594 NW 143rd Ave, Portland, OR 97229","$399,000 ",3,3,"1,477sqft"
"8553 NE Clackamas St, Portland, OR 97220","$390,000 ",3,1,996sqft
"8553 NE Clackamas St, Portland, OR 97220","$390,000 ",3,1,996sqft
"4715 NE 110th Ave, Portland, OR 97220","$384,000 ",3,2,"2,026sqft"
"7929 SW 40th Ave Apt M, Portland, OR 97219","$275,000 ",2,2,890sqft
"1024 SE 144th Ave, Portland, OR 97233","$385,000 ",3,1,960sqft
"12804 E Burnside St, Portland, OR 97233","$392,000 ",3,1,"1,325sqft"
"17809 SE Haig Dr, Portland, OR 97236","$424,950 ",5,2,"2,180sqft"
"815 NE 110th Ave, Portland, OR 97220","$455,000 ",3,3,"1,942sqft"
"4110 SW Charming Way, Portland, OR 97225","$1,475,000 ",5,3,"3,074sqft"
"4527 SE 45th Ave, Portland, OR 97206","$450,000 ",3,1,"3,212sqft"
"1118 NE 118th Ave, Portland, OR 97220","$399,000 ",3,1,"2,000sqft"
"2239 SE 147th Ave, Portland, OR 97233","$372,500 ",3,1,864sqft
"6604 SE Insley St Unit B, Portland, OR 97206","$385,000 ",2,2,791sqft
"7132 SE Gladstone St, Portland, OR 97206","$665,000 ",3,4,"1,800sqft"
"3315 N Russet St, Portland, OR 97217","$495,000 ",4,4,"2,200sqft"
"3930 SE 162nd Ave Unit 13, Portland, OR 97236","$149,995 ",3,2,"1,344sqft"
"6004 NE Simpson St, Portland, OR 97218","$462,500 ",2,2,"1,738sqft"
"300 NE Tomahawk Island Dr Unit E10, Portland, OR 97217","$389,000 ",3,2,"1,728sqft"
"15892 SW Colyer Way, Portland, OR 97224","$699,000 ",3,3,"2,031sqft"
"2321 SW Sherwood Dr, Portland, OR 97201","$599,000 ",2,1,"1,015sqft"
"620 NE 153rd Ave, Portland, OR 97230","$599,900 ",3,3,"2,926sqft"
"7200 SW 8th Ave, Portland, OR 97219","$765,000 ",4,2,"3,056sqft"
"15 SE 86th Ave, Portland, OR 97216","$529,900 ",3,2,"2,109sqft"
"14523 SE Mill St, Portland, OR 97233","$575,000 ",4,2,"1,704sqft"
"4831 NE 31st Ave, Portland, OR 97211","$384,500 ",3,1,928sqft
"3165 SW Underwood Dr, Portland, OR 97225","$1,650,000 ",5,3,"4,350sqft"
"8510 SW Milon Ln, Portland, OR 97225","$699,000 ",3,3,"2,476sqft"
"6324 SE 84th Ave, Portland, OR 97266","$385,000 ",3,2,884sqft
"2451 SE 85th Ave, Portland, OR 97216","$325,000 ",2,1,896sqft
"8923 NE Humboldt St, Portland, OR 97220","$249,900 ",2,1,"1,180sqft"
"16523 SE Crest Ct, Portland, OR 97236","$599,000 ",4,4,"2,483sqft"
"6535 SE Pine St, Portland, OR 97215","$2,225,000 ",3,3,"2,735sqft"
"14516 SE Crystal St, Portland, OR 97236","$569,000 ",4,3,"2,246sqft"
"2121 SW 16th Ave, Portland, OR 97201","$2,095,000 ",4,5,"5,856sqft"
"3105 SW Carolina St, Portland, OR 97239","$659,000 ",4,3,"2,100sqft"
"10387 N Mohawk Ave, Portland, OR 97203","$465,000 ",2,3,"1,400sqft"
"3962 SE Gladstone St, Portland, OR 97202","$519,900 ",3,3,"1,620sqft"
"2718 SE 28th Pl, Portland, OR 97202","$624,999 ",3,1,"2,078sqft"
"8415 NW Hazeltine St, Portland, OR 97229","$1,335,000 ",5,4,"3,636sqft"
"8014 N Johnswood Dr, Portland, OR 97203","$650,000 ",4,2,"2,184sqft"
"2718 SE 28th Pl, Portland, OR 97202","$624,999 ",3,1,"2,078sqft"
"8415 NW Hazeltine St, Portland, OR 97229","$1,335,000 ",5,4,"3,636sqft"
"8014 N Johnswood Dr, Portland, OR 97203","$650,000 ",4,2,"2,184sqft"
"6745 SE 68th Ave, Portland, OR 97206","$375,000 ",3,1,884sqft
"16901 SE Division St Unit 12A, Portland, OR 97236","$47,500 ",2,1,576sqft
"8252 NE Eugene St, Portland, OR 97220","$424,000 ",3,1,"1,107sqft"
"4331 SE Nehalem St, Portland, OR 97206","$450,000 ",3,1,"1,759sqft"
"6044 SE Stephens St, Portland, OR 97215","$600,000 ",2,2,"1,695sqft"
"8580 N John Ave, Portland, OR 97203","$349,999 ",3,1,888sqft
"3440 SW 100th Ave, Portland, OR 97225","$975,000 ",3,4,"2,555sqft"
"3724 NE Senate St, Portland, OR 97232","$699,000 ",3,2,"1,766sqft"
"2549 SW Beaverton Hillsdale Hwy, Portland, OR 97239","$249,900 ",2,1,956sqft
"3503 SW Canby St, Portland, OR 97219","$549,900 ",3,2,"2,069sqft"
"4805 NE 105th Ave, Portland, OR 97220","$410,000 ",3,2,"2,376sqft"
"176 NE 172nd Ave, Portland, OR 97230","$400,000 ",3,2,"1,401sqft"
"2851 SW Montgomery Dr, Portland, OR 97201","$849,000 ",3,4,"2,102sqft"
"1900 S River Dr Unit 1005, Portland, OR 97201","$825,000 ",2,2,"1,650sqft"
"7475 SE Rhone St, Portland, OR 97206","$749,900 ",4,3,"2,493sqft"
"847 N Russet St, Portland, OR 97217","$775,000 ",4,3,"2,560sqft"
"8504 N Foss Ave, Portland, OR 97203","$450,000 ",2,1,"1,256sqft"
"5703 S Corbett Ave, Portland, OR 97239","$535,000 ",4,2,"1,485sqft"
"1211 NE Stanton St, Portland, OR 97212","$1,395,000 ",4,3,"3,115sqft"
"4835 SE 113th Ave, Portland, OR 97266","$362,500 ",3,1,888sqft
"505 SE 35th Ave, Portland, OR 97214","$700,000 ",3,2,"2,632sqft"
"2336 SW Osage St Unit 800, Portland, OR 97205","$3,275,000 ",4,5,"4,927sqft"
"9522 N Exeter Ave, Portland, OR 97203","$559,900 ",3,3,"1,860sqft"
"2820 NE 32nd Ave, Portland, OR 97212","$1,324,900 ",4,4,"3,131sqft"
"6230 SW Dolph Dr, Portland, OR 97219","$899,000 ",4,3,"3,432sqft"
"7117 N Seward Ave, Portland, OR 97217","$699,900 ",4,2,"2,974sqft"
"5740 S Riverpoint Ln, Portland, OR 97239","$849,900 ",2,2,"1,639sqft"
"4834 NE Prescott St Unit B, Portland, OR 97218","$499,900 ",2,2,873sqft
"5833 SE 41st Ave Unit B, Portland, OR 97202","$524,900 ",2,2,873sqft
"7215 N Campbell Ave, Portland, OR 97217","$399,000 ",2,1,850sqft
"1635 NE Rosa Parks Way Unit B, Portland, OR 97211","$524,900 ",2,2,873sqft
"4284 NW Ashbrook Dr, Portland, OR 97229","$919,900 ",5,3,"2,485sqft"
"1937 SE 20th Ave, Portland, OR 97214","$579,000 ",2,2,"1,213sqft"
"845 NE Emerson St, Portland, OR 97211","$549,900 ",2,1,"1,756sqft"
"10225 SW 35th Ave, Portland, OR 97219","$599,900 ",5,3,"2,552sqft"
"11014 SE Harold St, Portland, OR 97266","$410,000 ",3,2,"1,216sqft"
"3334 NE 81st Ave, Portland, OR 97213","$385,000 ",3,1,981sqft
"2213 SE 179th Ave, Portland, OR 97233","$369,000 ",3,1,"1,008sqft"
"3966 SE Gladstone St, Portland, OR 97202","$440,000 ",2,3,"1,201sqft"
"1920 SE 135th Ave, Portland, OR 97233","$396,000 ",3,1,912sqft
"3321 NE Irving St, Portland, OR 97232","$1,650,000 ",6,4,"3,819sqft"
"11105 SW 43rd Ave, Portland, OR 97219","$599,900 ",4,4,"2,215sqft"
"5899 SW 67th Pl, Portland, OR 97225","$1,049,950 ",4,3,"3,243sqft"
"1426 NE Holland St, Portland, OR 97211","$450,000 ",3,2,"1,408sqft"
"3314 SE 15th Ave, Portland, OR 97202","$500,000 ",2,1,"2,061sqft"
"1907 SE 162nd Ave, Portland, OR 97233","$479,900 ",3,3,"1,860sqft"
"18152 NE Everett Ct, Portland, OR 97230","$324,900 ",2,1,750sqft
"6704 SW 15th Ave, Portland, OR 97219","$645,000 ",3,3,"1,388sqft"
"3316 NE 20th Ave, Portland, OR 97212","$685,000 ",4,1,"2,906sqft"
"2624 SE 30th Ave, Portland, OR 97202","$1,150,000 ",3,4,"2,766sqft"
"19619 NE Multnomah St, Portland, OR 97230","$300,000 ",2,1,"1,008sqft"
"15202 SE Kelly St, Portland, OR 97236","$475,000 ",4,3,"1,909sqft"
"11808 SE Malden Ct, Portland, OR 97266","$495,000 ",3,2,"1,500sqft"
"937 NW Glisan St Unit 1237, Portland, OR 97209","$699,900 ",2,2,"1,584sqft"
"4600 NE 118th Ave, Portland, OR 97220","$275,000 ",2,1,"2,048sqft"
"16205 NW Gillihan Rd, Portland, OR 97231","$2,990,000 ",3,3,"1,635sqft"
"13115 SE Foster Rd Unit 48, Portland, OR 97236","$75,000 ",3,2,"1,248sqft"
"8039 N Lombard Way, Portland, OR 97203","$499,950 ",3,3,"1,693sqft"
"353 SE Ankeny Cir, Portland, OR 97233","$965,888 ",10,8,"3,738sqft"
"2815 SE 129th Ave, Portland, OR 97236","$379,900 ",3,1,"1,008sqft"
"15341 SE Knapp Dr, Portland, OR 97236","$595,000 ",4,3,"2,070sqft"
"19035 NW Illahe St, Portland, OR 97229","$584,950 ",3,2,"1,503sqft"
"2843 N Halleck St, Portland, OR 97217","$574,900 ",3,3,"1,864sqft"
"12161 SE Knapp Ln, Portland, OR 97266","$499,500 ",4,3,"2,605sqft"
"7304 N Albina Ave, Portland, OR 97217","$450,000 ",3,2,"1,704sqft"
"5895 SW 67th Pl, Portland, OR 97225","$1,096,950 ",4,3,"3,674sqft"
"3136 NE 31st Ave, Portland, OR 97212","$550,000 ",3,1,"2,436sqft"
"2336 SE 130th Ave, Portland, OR 97233","$180,000 ",3,3,"1,580sqft"
"1696 NW 143rd Ave, Portland, OR 97229","$259,000 ",2,1,"1,088sqft"
"3963 N Montana Ave Unit 3, Portland, OR 97227","$355,000 ",2,1,916sqft
"11572 NW Pagosa Ln, Portland, OR 97229","$679,900 ",4,3,"1,907sqft"
"7412 SW Capitol Hwy, Portland, OR 97219","$559,900 ",3,4,"2,091sqft"
"3634 NE 145th Ave, Portland, OR 97230","$430,000 ",3,2,"1,456sqft"
"1534 NE 60th Ave, Portland, OR 97213","$450,000 ",3,2,"1,808sqft"
"2605 N Argyle St, Portland, OR 97217","$519,000 ",3,3,"1,447sqft"
"1030 NW Johnson St Apt 523, Portland, OR 97209","$699,000 ",2,2,"1,597sqft"
"5916 SW 67th Pl, Portland, OR 97225","$949,950 ",4,3,"2,855sqft"
"516 N Bryant St, Portland, OR 97217","$749,900 ",4,2,"2,172sqft"
"18345 NE Glisan St Unit 8, Portland, OR 97230","$129,950 ",3,2,"1,188sqft"
"5891 SW 67th Pl, Portland, OR 97225","$895,950 ",4,3,"2,904sqft"
"6551 SE 69th Ave, Portland, OR 97206","$519,000 ",4,2,"1,432sqft"
"4717 NE 97th Ave, Portland, OR 97220","$339,900 ",3,3,"1,420sqft"
"1933 NE 61st Ave, Portland, OR 97213","$735,000 ",3,2,"2,396sqft"
"7031 SE 84th Ave, Portland, OR 97266","$339,000 ",2,1,906sqft
"599 SE 148th Ave, Portland, OR 97233","$199,000 ",2,1,867sqft
"3724 SE 33rd Pl, Portland, OR 97202","$385,000 ",2,3,"1,145sqft"
"6215 SW California St, Portland, OR 97219","$1,295,000 ",3,3,"1,748sqft"
"1300 NE 68th Ave Apt 12, Portland, OR 97213","$269,000 ",2,1,687sqft
"5906 SW 67th Pl, Portland, OR 97225","$1,099,950 ",4,4,"3,355sqft"
"620 SE 146th Ave, Portland, OR 97233","$325,000 ",4,2,"2,272sqft"
"4304 SE 45th Ave, Portland, OR 97206","$575,000 ",4,2,"2,320sqft"
"7050 SE Yamhill St, Portland, OR 97215","$679,950 ",3,2,"2,136sqft"
"7710 SW Cedarcrest St, Portland, OR 97223","$399,000 ",2,1,956sqft
"8808 NE Hassalo St, Portland, OR 97220","$289,000 ",2,1,932sqft
"12123 SE Lexington St, Portland, OR 97266","$749,900 ",4,4,"3,537sqft"
"3557 SE 151st Ave, Portland, OR 97236","$399,950 ",3,3,"1,772sqft"
"6411 SE 32nd Ave, Portland, OR 97202","$919,900 ",4,3,"2,825sqft"
"5837 NW Skyline Blvd, Portland, OR 97229","$3,490,000 ",5,7,"7,943sqft"
"2922 SE 136th Ave, Portland, OR 97236","$369,000 ",2,1,"1,198sqft"
"542 NE Meadow Dr, Portland, OR 97211","$595,000 ",4,3,"2,021sqft"
"17113 SE Salmon St, Portland, OR 97233","$429,900 ",3,2,"2,047sqft"
"4001 NE 78th Ave, Portland, OR 97213","$365,000 ",2,1,"1,456sqft"
"537 NE Church St Unit 4, Portland, OR 97211","$359,900 ",2,1,"1,320sqft"
"156 NE 188th Ave, Portland, OR 97230","$475,000 ",5,2,"2,156sqft"
"333 NW 9th Ave Unit 703, Portland, OR 97209","$539,000 ",2,1,"1,176sqft"
"10945 SW 60th Ave, Portland, OR 97219","$579,900 ",4,3,"1,652sqft"
