Address,Price,Beds,Baths,Sizes
"5948 S Riveridge Ln, Portland, OR 97239","$500,000 ",2,2,"1,286sqft"
"922 NW 11th Ave Apt 1007, Portland, OR 97209","$649,000 ",2,2,"1,497sqft"
"530 N Hayden Bay Dr, Portland, OR 97217","$498,000 ",3,3,"2,041sqft"
"8234 N Chautauqua Blvd, Portland, OR 97217","$525,000 ",3,1,"1,906sqft"
"5798 NW Landing Dr, Portland, OR 97229","$555,000 ",3,2,"1,248sqft"
"2355 NE 167th Pl, Portland, OR 97230","$719,000 ",4,3,"2,549sqft"
"8324 SW 7th Ave, Portland, OR 97219","$809,000 ",3,2,"3,500sqft"
"14127 SE Rhone St, Portland, OR 97236","$399,999 ",3,1,"1,252sqft"
"2678 NW Kennedy Ct, Portland, OR 97229","$400,000 ",2,3,"1,422sqft"
"556 N Buffalo St, Portland, OR 97217","$519,900 ",3,1,"2,681sqft"
"2825 NW Birkendene St, Portland, OR 97229","$959,900 ",4,3,"3,375sqft"
"3306 SE 77th Ave, Portland, OR 97206","$479,900 ",3,1,"1,978sqft"
"4710 SE Anderegg Loop, Portland, OR 97236","$489,000 ",4,3,"2,627sqft"
"6336 SE 142nd Ave, Portland, OR 97236","$319,000 ",3,2,"1,296sqft"
"6506 SE 19th Ave, Portland, OR 97202","$635,000 ",2,1,"1,436sqft"
"4175 SW Council Crest Dr, Portland, OR 97239","$874,900 ",6,3,"3,445sqft"
"3504 SW Caldew St, Portland, OR 97219","$549,500 ",3,2,"1,712sqft"
"3904 N Juneau St, Portland, OR 97217","$289,000 ",3,1,"1,150sqft"
"112 SE 78th Ave, Portland, OR 97215","$699,900 ",6,2,"1,624sqft"
"3835 NE Bryce St, Portland, OR 97212","$850,000 ",3,3,"2,845sqft"
"2220 SE Yamhill St, Portland, OR 97214","$515,000 ",3,2,"1,716sqft"
"6106 NE 32nd Pl, Portland, OR 97211","$625,000 ",3,2,"1,825sqft"
"6535 SW Canyon Ct, Portland, OR 97225","$440,000 ",2,2,"1,826sqft"
"4412 SE 47th Ave, Portland, OR 97206","$559,000 ",3,1,"2,110sqft"
"5523 SE Cesar E Chavez Blvd, Portland, OR 97202","$515,000 ",3,2,"2,088sqft"
"11556 SE Yamhill St, Portland, OR 97216","$377,500 ",2,1,848sqft
"10234 SE Market Dr, Portland, OR 97216","$525,000 ",3,3,"2,340sqft"
"5511 NE 59th Ave, Portland, OR 97218","$399,000 ",3,1,"2,116sqft"
