,Neighborhood,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY
0,Centennial,Simple Assault,,,,
1,Parkrose,Aggravated Assault,,,,
2,Parkrose,Weapons Law Violations,,,,
3,Woodstock,Simple Assault,,,,
4,Woodstock,Kidnapping/Abduction,,,,
5,Powellhurst-Gilbert,Simple Assault,,,,
6,Centennial,Simple Assault,,,,
7,Hazelwood,Aggravated Assault,,,,
8,Downtown,Aggravated Assault,,,,
9,Mt Scott-Arleta,Aggravated Assault,,,,
10,Argay,Aggravated Assault,,,,
11,Argay,Murder and Non-negligent Manslaughter,,,,
12,Glenfair,Simple Assault,,,,
13,Centennial,Simple Assault,,,,
14,Reed,Simple Assault,,,,
15,Woodstock,Simple Assault,,,,
16,Parkrose Heights,Aggravated Assault,,,,
17,Humboldt,Simple Assault,,,,
18,Piedmont,Murder and Non-negligent Manslaughter,,,,
19,King,Aggravated Assault,,,,
20,Centennial,Simple Assault,,,,
21,Roseway,Simple Assault,,,,
22,Eliot,Robbery,,,,
23,South Portland,Simple Assault,,,,
24,Creston-Kenilworth,Rape,,,,
25,Old Town/Chinatown,Aggravated Assault,,,,
26,Old Town/Chinatown,Sexual Assault With An Object,,,,
27,Old Town/Chinatown,Robbery,,,,
28,Downtown,Aggravated Assault,,,,
29,Mt Scott-Arleta,Aggravated Assault,,,,
30,Hayden Island,Simple Assault,,,,
31,Lents,Simple Assault,,,,
32,Centennial,Simple Assault,,,,
33,Argay,Aggravated Assault,,,,
34,Lents,Simple Assault,,,,
35,,Simple Assault,,,,
36,Glenfair,Simple Assault,,,,
37,Kerns,Simple Assault,,,,
38,Hazelwood,Simple Assault,,,,
39,Hazelwood,Aggravated Assault,,,,
40,Downtown,Simple Assault,,,,
41,Centennial,Simple Assault,,,,
42,Powellhurst-Gilbert,Simple Assault,,,,
43,,Kidnapping/Abduction,,,,
44,,Rape,,,,
45,Eliot,Aggravated Assault,,,,
46,Portsmouth,Simple Assault,,,,
47,Centennial,Aggravated Assault,,,,
48,Powellhurst-Gilbert,Simple Assault,,,,
49,Buckman East,Aggravated Assault,,,,
50,Foster-Powell,Simple Assault,,,,
51,Hazelwood,Simple Assault,,,,
52,Hazelwood,Burglary,,,,
53,Hazelwood,Vandalism,,,,
54,Downtown,Simple Assault,,,,
55,Powellhurst-Gilbert,Simple Assault,,,,
56,South Tabor,Vandalism,,,,
57,Lloyd,Simple Assault,,,,
58,St Johns,Aggravated Assault,,,,
59,Goose Hollow,Rape,,,,
60,Cully,Motor Vehicle Theft,,,,
61,Argay,Kidnapping/Abduction,,,,
62,Downtown,Sodomy,,,,
63,Powellhurst-Gilbert,Simple Assault,,,,
64,Hazelwood,Simple Assault,,,,
65,Montavilla,Aggravated Assault,,,,
66,Multnomah,Simple Assault,,,,
67,Alameda,Intimidation,,,,
68,Cathedral Park,Aggravated Assault,,,,
69,South Tabor,Burglary,,,,
70,Glenfair,Simple Assault,,,,
71,,Simple Assault,,,,
72,Piedmont,Simple Assault,,,,
73,St Johns,Intimidation,,,,
74,Goose Hollow,Simple Assault,,,,
75,Parkrose,Rape,,,,
76,Argay,Simple Assault,,,,
77,Old Town/Chinatown,Rape,,,,
78,Kenton,Aggravated Assault,,,,
79,,Aggravated Assault,,,,
80,St Johns,Simple Assault,,,,
81,Montavilla,Simple Assault,,,,
82,Goose Hollow,Simple Assault,,,,
83,Hazelwood,Simple Assault,,,,
84,Madison South,Simple Assault,,,,
85,Lloyd,Kidnapping/Abduction,,,,
86,Hazelwood,Aggravated Assault,,,,
87,Eliot,Simple Assault,,,,
88,Centennial,Simple Assault,,,,
89,Hazelwood,Murder and Non-negligent Manslaughter,,,,
90,Downtown,Simple Assault,,,,
91,Lents,Aggravated Assault,,,,
92,Centennial,Simple Assault,,,,
93,Concordia,Intimidation,,,,
94,Downtown,Simple Assault,,,,
95,Wilkes,Aggravated Assault,,,,
96,Northwest,Simple Assault,,,,
97,Hazelwood,Simple Assault,,,,
98,Centennial,Intimidation,,,,
99,Centennial,Credit Card/ATM Fraud,,,,
100,Centennial,Theft From Motor Vehicle,,,,
101,Parkrose Heights,Simple Assault,,,,
102,Roseway,Simple Assault,,,,
103,Centennial,Vandalism,,,,
104,Madison South,Simple Assault,,,,
105,Foster-Powell,Simple Assault,,,,
106,Centennial,Aggravated Assault,,,,
107,Hazelwood,Simple Assault,,,,
108,West Portland Park,Vandalism,,,,
109,Cully,Simple Assault,,,,
110,Concordia,Simple Assault,,,,
111,Centennial,Simple Assault,,,,
112,Glenfair,Simple Assault,,,,
113,Boise,Fondling,,,,
114,Northwest,Aggravated Assault,,,,
115,Rose City Park,Simple Assault,,,,
116,Rose City Park,Simple Assault,,,,
117,Pearl,Vandalism,,,,
118,Glenfair,Aggravated Assault,,,,
119,Mt Scott-Arleta,Simple Assault,,,,
120,Hazelwood,Simple Assault,,,,
121,Mill Park,Simple Assault,,,,
122,Concordia,Simple Assault,,,,
123,,Commercial Sex Acts,,,,
124,Northwest,Simple Assault,,,,
125,King,Simple Assault,,,,
126,Concordia,Rape,,,,
127,Wilkes,Rape,,,,
128,Multnomah,Simple Assault,,,,
129,Hazelwood,Simple Assault,,,,
130,Sumner,Simple Assault,,,,
131,Lents,Simple Assault,,,,
132,Concordia,Vandalism,,,,
133,Woodlawn,Vandalism,,,,
134,Hazelwood,Aggravated Assault,,,,
135,South Portland,Simple Assault,,,,
136,Brooklyn,Simple Assault,,,,
137,Powellhurst-Gilbert,Aggravated Assault,,,,
138,Hayden Island,Pocket-Picking,,,,
139,Centennial,Robbery,,,,
140,Irvington,Aggravated Assault,,,,
141,Woodstock,Robbery,,,,
142,Eliot,Aggravated Assault,,,,
143,Sellwood-Moreland,Simple Assault,,,,
144,Hazelwood,Simple Assault,,,,
145,Cully,Simple Assault,,,,
146,Glenfair,Simple Assault,,,,
147,Montavilla,Vandalism,,,,
148,Buckman West,Fondling,,,,
149,Hazelwood,Aggravated Assault,,,,
150,Montavilla,Aggravated Assault,,,,
151,South Tabor,Simple Assault,,,,
152,Centennial,Aggravated Assault,,,,
153,Humboldt,Rape,,,,
154,Argay,Simple Assault,,,,
155,Downtown,Simple Assault,,,,
156,Hazelwood,Rape,,,,
157,Old Town/Chinatown,Rape,,,,
158,Lents,Aggravated Assault,,,,
159,Ashcreek,Simple Assault,,,,
160,Centennial,Fondling,,,,
161,Montavilla,Aggravated Assault,,,,
162,Centennial,Simple Assault,,,,
163,Montavilla,Kidnapping/Abduction,,,,
164,Downtown,Simple Assault,,,,
165,Centennial,Simple Assault,,,,
166,Portsmouth,Simple Assault,,,,
167,Lloyd,Simple Assault,,,,
168,Portsmouth,Kidnapping/Abduction,,,,
169,Wilkes,Aggravated Assault,,,,
170,Goose Hollow,Aggravated Assault,,,,
171,Foster-Powell,Sexual Assault With An Object,,,,
172,St Johns,Simple Assault,,,,
173,Powellhurst-Gilbert,Aggravated Assault,,,,
174,Sellwood-Moreland,Fondling,,,,
175,Hazelwood,Simple Assault,,,,
176,Downtown,Vandalism,,,,
177,Hazelwood,Simple Assault,,,,
178,Lloyd,Simple Assault,,,,
179,St Johns,Simple Assault,,,,
180,Old Town/Chinatown,Simple Assault,,,,
181,Buckman East,Simple Assault,,,,
182,Centennial,Simple Assault,,,,
183,,Sodomy,,,,
184,Boise,Simple Assault,,,,
185,,Aggravated Assault,,,,
186,Multnomah,Aggravated Assault,,,,
187,Montavilla,Simple Assault,,,,
188,Parkrose,Aggravated Assault,,,,
189,Parkrose,Simple Assault,,,,
190,Mill Park,Aggravated Assault,,,,
191,Kenton,Aggravated Assault,,,,
192,Powellhurst-Gilbert,Aggravated Assault,,,,
193,Eliot,Murder and Non-negligent Manslaughter,,,,
194,Montavilla,Fondling,,,,
195,Woodstock,Aggravated Assault,,,,
196,Downtown,Simple Assault,,,,
197,Powellhurst-Gilbert,Vandalism,,,,
198,Old Town/Chinatown,Fondling,,,,
199,Argay,Aggravated Assault,,,,
200,Hosford-Abernethy,Fondling,,,,
201,Sellwood-Moreland,Vandalism,,,,
202,,Simple Assault,,,,
203,Creston-Kenilworth,Simple Assault,,,,
204,Mill Park,Simple Assault,,,,
205,Hazelwood,Simple Assault,,,,
206,Lents,Simple Assault,,,,
207,East Columbia,Kidnapping/Abduction,,,,
208,Portsmouth,Intimidation,,,,
209,Rose City Park,Aggravated Assault,,,,
210,Cully,Simple Assault,,,,
211,Portsmouth,All Other Larceny,,,,
212,Portsmouth,Simple Assault,,,,
213,Old Town/Chinatown,Simple Assault,,,,
214,Montavilla,Simple Assault,,,,
215,Lents,Simple Assault,,,,
216,Foster-Powell,Simple Assault,,,,
217,Northwest,Aggravated Assault,,,,
218,Cully,Simple Assault,,,,
219,Old Town/Chinatown,Simple Assault,,,,
220,Goose Hollow,Simple Assault,,,,
221,Goose Hollow,Animal Cruelty,,,,
222,Downtown,Aggravated Assault,,,,
223,Hazelwood,Simple Assault,,,,
224,Northwest,Rape,,,,
225,Powellhurst-Gilbert,Simple Assault,,,,
226,Portsmouth,Aggravated Assault,,,,
227,Cathedral Park,Simple Assault,,,,
228,Lloyd,Aggravated Assault,,,,
229,Hazelwood,Weapons Law Violations,,,,
230,Hosford-Abernethy,Intimidation,,,,
231,Madison South,Intimidation,,,,
232,Sylvan-Highlands,Aggravated Assault,,,,
233,Hazelwood,Simple Assault,,,,
234,Wilkes,Aggravated Assault,,,,
235,,Statutory Rape,,,,
236,Hayden Island,Fondling,,,,
237,Glenfair,Simple Assault,,,,
238,Overlook,Simple Assault,,,,
239,Eliot,Kidnapping/Abduction,,,,
240,Sunderland,Aggravated Assault,,,,
241,Centennial,Simple Assault,,,,
242,Kenton,Aggravated Assault,,,,
243,Sellwood-Moreland,Credit Card/ATM Fraud,,,,
244,Madison South,Simple Assault,,,,
245,Powellhurst-Gilbert,Aggravated Assault,,,,
246,Madison South,Simple Assault,,,,
247,Madison South,Vandalism,,,,
248,Montavilla,Simple Assault,,,,
249,Sellwood-Moreland,Aggravated Assault,,,,
250,Overlook,Vandalism,,,,
251,Hillsdale,Intimidation,,,,
252,Kenton,Simple Assault,,,,
253,Hazelwood,Aggravated Assault,,,,
254,Madison South,Intimidation,,,,
255,Creston-Kenilworth,Simple Assault,,,,
256,Sumner,Simple Assault,,,,
257,Roseway,Aggravated Assault,,,,
258,Hazelwood,Simple Assault,,,,
259,Lents,Simple Assault,,,,
260,Centennial,Aggravated Assault,,,,
261,Madison South,Murder and Non-negligent Manslaughter,,,,
262,Sellwood-Moreland,Simple Assault,,,,
263,Old Town/Chinatown,Aggravated Assault,,,,
264,King,Simple Assault,,,,
265,Parkrose,Simple Assault,,,,
266,Centennial,Simple Assault,,,,
267,King,Kidnapping/Abduction,,,,
268,Portsmouth,Simple Assault,,,,
269,,Identity Theft,,,,
270,Parkrose,Aggravated Assault,,,,
271,Powellhurst-Gilbert,Intimidation,,,,
272,Hazelwood,Simple Assault,,,,
273,Buckman East,Simple Assault,,,,
274,Parkrose,Aggravated Assault,,,,
275,Montavilla,All Other Larceny,,,,
276,Reed,Simple Assault,,,,
277,Concordia,Simple Assault,,,,
278,Creston-Kenilworth,Simple Assault,,,,
279,Woodlawn,Simple Assault,,,,
280,Beaumont-Wilshire,Simple Assault,,,,
281,East Columbia,Involuntary Servitude,,,,
282,Parkrose,Fondling,,,,
283,Powellhurst-Gilbert,Simple Assault,,,,
284,Centennial,Intimidation,,,,
285,St Johns,Simple Assault,,,,
286,Reed,Simple Assault,,,,
287,Centennial,Simple Assault,,,,
288,Kenton,Aggravated Assault,,,,
289,Kenton,Simple Assault,,,,
290,Lents,Aggravated Assault,,,,
291,Sunnyside,Aggravated Assault,,,,
292,Woodlawn,Intimidation,,,,
293,Sunnyside,Aggravated Assault,,,,
294,Foster-Powell,Simple Assault,,,,
295,Downtown,Commercial Sex Acts,,,,
296,Centennial,Aggravated Assault,,,,
297,Hazelwood,Robbery,,,,
298,Ashcreek,Aggravated Assault,,,,
299,Powellhurst-Gilbert,Aggravated Assault,,,,
300,Eliot,Vandalism,,,,
301,Pleasant Valley,Intimidation,,,,
302,Pleasant Valley,Pornography/Obscene Material,,,,
303,Hosford-Abernethy,All Other Larceny,,,,
304,Northwest,Simple Assault,,,,
305,Downtown,Simple Assault,,,,
306,Brentwood-Darlington,Simple Assault,,,,
307,Sunnyside,Intimidation,,,,
308,Hazelwood,Simple Assault,,,,
309,Mt Tabor,Theft From Motor Vehicle,,,,
310,Hazelwood,Intimidation,,,,
311,Pearl,Simple Assault,,,,
312,Portsmouth,Simple Assault,,,,
313,Mill Park,Vandalism,,,,
314,Old Town/Chinatown,Murder and Non-negligent Manslaughter,,,,
315,Hazelwood,Simple Assault,,,,
316,Creston-Kenilworth,Simple Assault,,,,
317,Parkrose,Simple Assault,,,,
318,West Portland Park,Aggravated Assault,,,,
319,Russell,Simple Assault,,,,
320,Centennial,All Other Larceny,,,,
321,Downtown,Simple Assault,,,,
322,Lloyd,Rape,,,,
323,Kerns,Simple Assault,,,,
324,Centennial,Simple Assault,,,,
325,,Aggravated Assault,,,,
326,Sunnyside,Theft From Motor Vehicle,,,,
327,Hayhurst,Simple Assault,,,,
328,Ashcreek,Vandalism,,,,
329,Centennial,Simple Assault,,,,
330,Madison South,Simple Assault,,,,
331,Hayden Island,Simple Assault,,,,
332,Buckman East,Simple Assault,,,,
333,Buckman East,Vandalism,,,,
334,Parkrose Heights,Simple Assault,,,,
335,Old Town/Chinatown,Fondling,,,,
336,Madison South,Statutory Rape,,,,
337,Northwest,Rape,,,,
338,Lloyd,Simple Assault,,,,
339,King,Simple Assault,,,,
340,Reed,Simple Assault,,,,
341,Buckman West,Aggravated Assault,,,,
342,Boise,Aggravated Assault,,,,
343,Far Southwest,Intimidation,,,,
344,Madison South,Simple Assault,,,,
345,Homestead,Fondling,,,,
346,Argay,Simple Assault,,,,
347,Downtown,Aggravated Assault,,,,
348,Downtown,Burglary,,,,
349,Lents,Simple Assault,,,,
350,Argay,Aggravated Assault,,,,
351,Madison South,Aggravated Assault,,,,
352,Powellhurst-Gilbert,Simple Assault,,,,
353,,Simple Assault,,,,
354,Hazelwood,Simple Assault,,,,
355,Hazelwood,Vandalism,,,,
356,North Tabor,Murder and Non-negligent Manslaughter,,,,
357,Hazelwood,Aggravated Assault,,,,
358,Mt Scott-Arleta,Simple Assault,,,,
359,Sumner,Simple Assault,,,,
360,Lents,Aggravated Assault,,,,
361,Hazelwood,Sexual Assault With An Object,,,,
362,Hillsdale,Simple Assault,,,,
363,Mill Park,Fondling,,,,
364,St Johns,Kidnapping/Abduction,,,,
365,Montavilla,Simple Assault,,,,
366,Powellhurst-Gilbert,Simple Assault,,,,
367,Hazelwood,Murder and Non-negligent Manslaughter,,,,
368,Richmond,Aggravated Assault,,,,
369,Hazelwood,Aggravated Assault,,,,
370,Sellwood-Moreland,Simple Assault,,,,
371,Portsmouth,Aggravated Assault,,,,
372,Sullivan's Gulch,Simple Assault,,,,
373,Sullivan's Gulch,Aggravated Assault,,,,
374,Lents,Simple Assault,,,,
375,Hosford-Abernethy,Aggravated Assault,,,,
376,Humboldt,All Other Larceny,,,,
377,Humboldt,Vandalism,,,,
378,Centennial,Simple Assault,,,,
379,Hazelwood,All Other Larceny,,,,
380,Centennial,Simple Assault,,,,
381,Centennial,Fondling,,,,
382,Downtown,Aggravated Assault,,,,
383,Rose City Park,Simple Assault,,,,
384,Parkrose Heights,Simple Assault,,,,
385,Kerns,Simple Assault,,,,
386,Alameda,Motor Vehicle Theft,,,,
387,Parkrose,Commercial Sex Acts,,,,
388,Parkrose,Involuntary Servitude,,,,
389,Lents,Sexual Assault With An Object,,,,
390,Boise,Simple Assault,,,,
391,Boise,Simple Assault,,,,
392,Overlook,Simple Assault,,,,
393,Hazelwood,Aggravated Assault,,,,
394,Hazelwood,Murder and Non-negligent Manslaughter,,,,
395,Glenfair,Aggravated Assault,,,,
396,South Tabor,Simple Assault,,,,
397,Sellwood-Moreland,Simple Assault,,,,
398,Brentwood-Darlington,Simple Assault,,,,
399,Hosford-Abernethy,Intimidation,,,,
400,Hosford-Abernethy,Intimidation,,,,
401,Pearl,Fondling,,,,
402,Centennial,Simple Assault,,,,
403,Brentwood-Darlington,Aggravated Assault,,,,
404,Hazelwood,Aggravated Assault,,,,
405,South Portland,Simple Assault,,,,
406,Woodstock,Simple Assault,,,,
407,Parkrose Heights,Simple Assault,,,,
408,Mt Tabor,Vandalism,,,,
409,Madison South,Aggravated Assault,,,,
410,Hazelwood,Vandalism,,,,
411,Centennial,Simple Assault,,,,
412,Lloyd,Simple Assault,,,,
413,Humboldt,Simple Assault,,,,
414,Parkrose,Aggravated Assault,,,,
415,Northwest,Robbery,,,,
416,Multnomah,Simple Assault,,,,
417,Northwest,Fondling,,,,
418,Pearl,Simple Assault,,,,
419,Lents,Simple Assault,,,,
420,Argay,Murder and Non-negligent Manslaughter,,,,
421,Humboldt,Intimidation,,,,
422,Mt Scott-Arleta,Simple Assault,,,,
423,Piedmont,Simple Assault,,,,
424,Brentwood-Darlington,Simple Assault,,,,
425,Goose Hollow,Vandalism,,,,
426,Downtown,Simple Assault,,,,
427,Boise,Vandalism,,,,
428,Montavilla,Aggravated Assault,,,,
429,Montavilla,Vandalism,,,,
430,Lents,Simple Assault,,,,
431,Humboldt,Aggravated Assault,,,,
432,Parkrose Heights,Simple Assault,,,,
433,Concordia,Simple Assault,,,,
434,St Johns,Aggravated Assault,,,,
435,Centennial,Fondling,,,,
436,Mt Tabor,Counterfeiting/Forgery,,,,
437,Mill Park,Simple Assault,,,,
438,Powellhurst-Gilbert,Aggravated Assault,,,,
439,Kenton,Vandalism,,,,
440,Lents,Simple Assault,,,,
441,Centennial,Aggravated Assault,,,,
442,Hazelwood,Simple Assault,,,,
443,Centennial,Aggravated Assault,,,,
444,Sunnyside,Intimidation,,,,
445,Ashcreek,Simple Assault,,,,
446,Parkrose,Kidnapping/Abduction,,,,
447,Hazelwood,Aggravated Assault,,,,
448,Hazelwood,Vandalism,,,,
449,Portsmouth,Rape,,,,
450,Glenfair,Simple Assault,,,,
451,Hazelwood,Simple Assault,,,,
452,Brentwood-Darlington,Simple Assault,,,,
453,Pearl,Burglary,,,,
454,Parkrose Heights,Burglary,,,,
455,Centennial,Aggravated Assault,,,,
456,Centennial,Robbery,,,,
457,St Johns,Fondling,,,,
458,Foster-Powell,Intimidation,,,,
459,Glenfair,Drug/Narcotic Violations,,,,
460,,Intimidation,,,,
461,,Aggravated Assault,,,,
462,,Vandalism,,,,
463,Humboldt,Simple Assault,,,,
464,Irvington,Aggravated Assault,,,,
465,Irvington,Weapons Law Violations,,,,
466,Kerns,Aggravated Assault,,,,
467,Centennial,Simple Assault,,,,
468,Russell,Simple Assault,,,,
469,Brentwood-Darlington,Intimidation,,,,
470,Forest Park,Pornography/Obscene Material,,,,
471,Powellhurst-Gilbert,Intimidation,,,,
472,Lents,Simple Assault,,,,
473,Overlook,Aggravated Assault,,,,
474,Powellhurst-Gilbert,Simple Assault,,,,
475,Arbor Lodge,Simple Assault,,,,
476,Arbor Lodge,Vandalism,,,,
477,Montavilla,Simple Assault,,,,
478,,Aggravated Assault,,,,
479,Centennial,Aggravated Assault,,,,
480,Centennial,Burglary,,,,
481,Centennial,Weapons Law Violations,,,,
482,Alameda,Vandalism,,,,
483,Mill Park,Intimidation,,,,
484,Madison South,Simple Assault,,,,
485,Arbor Lodge,Simple Assault,,,,
486,Boise,Aggravated Assault,,,,
487,Boise,Vandalism,,,,
488,Boise,Weapons Law Violations,,,,
489,Cully,Simple Assault,,,,
490,Cully,Vandalism,,,,
491,Foster-Powell,Simple Assault,,,,
492,Kenton,Simple Assault,,,,
493,Portsmouth,Simple Assault,,,,
494,Pleasant Valley,Aggravated Assault,,,,
495,Roseway,Simple Assault,,,,
496,,Aggravated Assault,,,,
497,Cully,Simple Assault,,,,
498,Powellhurst-Gilbert,Intimidation,,,,
499,Humboldt,Aggravated Assault,,,,
500,St Johns,Aggravated Assault,,,,
501,Cully,Intimidation,,,,
502,South Burlingame,Aggravated Assault,,,,
503,South Burlingame,Vandalism,,,,
504,Wilkes,Simple Assault,,,,
505,Wilkes,Vandalism,,,,
506,Arbor Lodge,Simple Assault,,,,
507,Northwest,Simple Assault,,,,
508,Downtown,Rape,,,,
509,Northwest,Intimidation,,,,
510,Northwest,Intimidation,,,,
511,Brentwood-Darlington,Simple Assault,,,,
512,Downtown,Simple Assault,,,,
513,Overlook,Murder and Non-negligent Manslaughter,,,,
514,Madison South,Simple Assault,,,,
515,Glenfair,Sodomy,,,,
516,Buckman East,Simple Assault,,,,
517,South Tabor,Intimidation,,,,
518,Brentwood-Darlington,Simple Assault,,,,
519,Parkrose Heights,Aggravated Assault,,,,
520,St Johns,Simple Assault,,,,
521,Rose City Park,Simple Assault,,,,
522,Rose City Park,Vandalism,,,,
523,Lloyd,Simple Assault,,,,
524,Portsmouth,Aggravated Assault,,,,
525,Montavilla,Sexual Assault With An Object,,,,
526,Powellhurst-Gilbert,Simple Assault,,,,
527,Mill Park,Simple Assault,,,,
528,West Portland Park,Fondling,,,,
529,Parkrose,Aggravated Assault,,,,
530,Overlook,Rape,,,,
531,Pleasant Valley,Simple Assault,,,,
532,Pleasant Valley,Vandalism,,,,
533,Goose Hollow,Aggravated Assault,,,,
534,Portsmouth,Simple Assault,,,,
535,Portsmouth,Vandalism,,,,
536,Parkrose Heights,Simple Assault,,,,
537,Downtown,Simple Assault,,,,
538,Humboldt,Simple Assault,,,,
539,Powellhurst-Gilbert,Aggravated Assault,,,,
540,Powellhurst-Gilbert,Vandalism,,,,
541,Eliot,Aggravated Assault,,,,
542,Eliot,Kidnapping/Abduction,,,,
543,Old Town/Chinatown,Murder and Non-negligent Manslaughter,,,,
544,Foster-Powell,Burglary,,,,
545,Boise,Vandalism,,,,
546,,Rape,,,,
547,Bridgeton,Simple Assault,,,,
548,Sunnyside,Intimidation,,,,
549,Kenton,Vandalism,,,,
550,Centennial,Intimidation,,,,
551,West Portland Park,Commercial Sex Acts,,,,
552,Parkrose,Theft From Motor Vehicle,,,,
553,Brooklyn,All Other Larceny,,,,
554,Centennial,Aggravated Assault,,,,
555,Portsmouth,Simple Assault,,,,
556,Hazelwood,Aggravated Assault,,,,
557,Powellhurst-Gilbert,Murder and Non-negligent Manslaughter,,,,
558,Downtown,Simple Assault,,,,
559,Downtown,All Other Larceny,,,,
560,,Rape,,,,
561,,Rape,,,,
562,Brooklyn,Simple Assault,,,,
563,Brentwood-Darlington,Simple Assault,,,,
564,Kenton,Intimidation,,,,
565,Lents,Vandalism,,,,
566,King,Embezzlement,,,,
567,Pleasant Valley,Sexual Assault With An Object,,,,
568,Centennial,Simple Assault,,,,
569,Mill Park,Aggravated Assault,,,,
570,Old Town/Chinatown,Aggravated Assault,,,,
571,Roseway,Simple Assault,,,,
572,Powellhurst-Gilbert,Simple Assault,,,,
573,,Fondling,,,,
574,University Park,Fondling,,,,
575,King,Vandalism,,,,
576,Sylvan-Highlands,Theft From Motor Vehicle,,,,
577,Northwest,Simple Assault,,,,
578,Portsmouth,Aggravated Assault,,,,
579,Portsmouth,Intimidation,,,,
580,Cully,Aggravated Assault,,,,
581,St Johns,Intimidation,,,,
582,St Johns,Murder and Non-negligent Manslaughter,,,,
583,Lents,Aggravated Assault,,,,
584,Parkrose,Theft From Motor Vehicle,,,,
585,Hazelwood,Fondling,,,,
586,Hazelwood,Simple Assault,,,,
587,Hazelwood,Rape,,,,
588,Hazelwood,Rape,,,,
589,,Rape,,,,
590,Woodlawn,Pornography/Obscene Material,,,,
591,Sunnyside,Aggravated Assault,,,,
592,Hazelwood,Simple Assault,,,,
593,Overlook,Intimidation,,,,
594,Overlook,Simple Assault,,,,
595,Forest Park,Simple Assault,,,,
596,Centennial,Fondling,,,,
597,South Portland,Intimidation,,,,
598,Hazelwood,Simple Assault,,,,
599,Creston-Kenilworth,Pocket-Picking,,,,
600,Centennial,Simple Assault,,,,
601,Eastmoreland,Simple Assault,,,,
602,Downtown,Intimidation,,,,
603,,Theft From Motor Vehicle,,,,
604,Lloyd,Simple Assault,,,,
605,Mill Park,Aggravated Assault,,,,
606,Kenton,Simple Assault,,,,
607,St Johns,Simple Assault,,,,
608,Downtown,Pornography/Obscene Material,,,,
609,Hazelwood,Aggravated Assault,,,,
610,Downtown,Simple Assault,,,,
611,Cathedral Park,Simple Assault,,,,
612,Lloyd,Simple Assault,,,,
613,Hazelwood,Aggravated Assault,,,,
614,Powellhurst-Gilbert,Rape,,,,
615,Powellhurst-Gilbert,Theft From Building,,,,
616,Mt Tabor,Credit Card/ATM Fraud,,,,
617,Powellhurst-Gilbert,Simple Assault,,,,
618,Powellhurst-Gilbert,Simple Assault,,,,
619,Lents,Simple Assault,,,,
620,Lents,Burglary,,,,
621,Northwest,Simple Assault,,,,
622,Roseway,Fondling,,,,
623,Northwest,Simple Assault,,,,
624,Centennial,Simple Assault,,,,
625,Centennial,Vandalism,,,,
626,Hazelwood,Simple Assault,,,,
627,South Tabor,Simple Assault,,,,
628,Parkrose Heights,Statutory Rape,,,,
629,Pearl,Simple Assault,,,,
630,Woodland Park,Simple Assault,,,,
631,Powellhurst-Gilbert,Simple Assault,,,,
632,St Johns,Simple Assault,,,,
633,Old Town/Chinatown,Sodomy,,,,
634,Wilkes,Fondling,,,,
635,Buckman East,Simple Assault,,,,
636,,Rape,,,,
637,Piedmont,Simple Assault,,,,
638,Centennial,Simple Assault,,,,
639,Hazelwood,Sodomy,,,,
640,Hazelwood,Aggravated Assault,,,,
641,Hillsdale,Kidnapping/Abduction,,,,
642,Parkrose Heights,Simple Assault,,,,
643,Hazelwood,Aggravated Assault,,,,
644,Portsmouth,Simple Assault,,,,
645,Southwest Hills,Aggravated Assault,,,,
646,Powellhurst-Gilbert,Vandalism,,,,
647,Centennial,All Other Larceny,,,,
648,Montavilla,Simple Assault,,,,
649,Rose City Park,Aggravated Assault,,,,
650,Rose City Park,Murder and Non-negligent Manslaughter,,,,
651,Rose City Park,Weapons Law Violations,,,,
652,Montavilla,Rape,,,,
653,Pleasant Valley,Sexual Assault With An Object,,,,
654,University Park,Simple Assault,,,,
655,Powellhurst-Gilbert,Simple Assault,,,,
656,Lloyd,Simple Assault,,,,
657,Parkrose,Simple Assault,,,,
658,Parkrose,Vandalism,,,,
659,Hazelwood,Simple Assault,,,,
660,Eliot,Sexual Assault With An Object,,,,
661,Cully,Burglary,,,,
662,University Park,Simple Assault,,,,
663,St Johns,Simple Assault,,,,
664,Northwest,Fondling,,,,
665,Brentwood-Darlington,Simple Assault,,,,
666,Hillsdale,Theft From Building,,,,
667,Kenton,Kidnapping/Abduction,,,,
668,King,Rape,,,,
669,Lents,Vandalism,,,,
670,Centennial,Identity Theft,,,,
671,Hillsdale,Theft From Building,,,,
672,Montavilla,Simple Assault,,,,
673,Powellhurst-Gilbert,Simple Assault,,,,
674,Hazelwood,Simple Assault,,,,
675,Hazelwood,Simple Assault,,,,
676,Grant Park,Theft From Motor Vehicle,,,,
677,Woodstock,Kidnapping/Abduction,,,,
678,Woodstock,Rape,,,,
679,Pleasant Valley,Aggravated Assault,,,,
680,Pleasant Valley,Murder and Non-negligent Manslaughter,,,,
681,Cully,Simple Assault,,,,
682,St Johns,Aggravated Assault,,,,
683,Northwest,Simple Assault,,,,
684,Parkrose,Prostitution,,,,
685,Kerns,Aggravated Assault,,,,
686,Downtown,Aggravated Assault,,,,
687,Pearl,Simple Assault,,,,
688,Pearl,Simple Assault,,,,
689,,Theft From Motor Vehicle,,,,
690,Portsmouth,Simple Assault,,,,
691,North Tabor,Vandalism,,,,
692,Centennial,Simple Assault,,,,
693,Parkrose Heights,Simple Assault,,,,
694,Sunderland,Simple Assault,,,,
