,Address,Price,Zip Code,size
399,"6314 SE 87th Ave, Portland, OR 97266",430000,97266,1358
400,"6324 SE 87th Ave, Portland, OR 97266",430000,97266,1358
401,"6320 SE 87th Ave, Portland, OR 97266",430000,97266,1358
402,"7036 SW 35th Ave, Portland, OR 97219",749900,97219,1744
403,"3203 SW 2nd Ave, Portland, OR 97239",999999,97239,2977
404,"2600 SW 75th Ter, Portland, OR 97225",749900,97225,2465
405,"2107 SE 148th Pl, Portland, OR 97233",234900,97233,1180
406,"8567 N Mohawk Ave, Portland, OR 97203",615000,97203,2400
407,"13843 NE Fremont St, Portland, OR 97230",519000,97230,2464
408,"4024 SE 134th Ave, Portland, OR 97236",379900,97236,1072
409,"1221 NE 136th Ave, Portland, OR 97230",629000,97230,3365
410,"21345 NW Rock Creek Blvd, Portland, OR 97229",575000,97229,1415
411,"10630 SE Long St, Portland, OR 97266",389900,97266,1021
412,"8450 NW Thompson Rd, Portland, OR 97229",550000,97229,1496
413,"8333 SW 4th Ave, Portland, OR 97219",750000,97219,2321
414,"2425 NE 134th Pl, Portland, OR 97230",449950,97230,1658
415,"14414 SE Alder Ct, Portland, OR 97233",375000,97233,1152
416,"2768 SW Fairmount Blvd, Portland, OR 97239",1040000,97239,3196
417,"2350 NE 159th Ave, Portland, OR 97230",429000,97230,1281
418,"6021 NE Failing St, Portland, OR 97213",425000,97213,1848
419,"5850 NE 10th Ave, Portland, OR 97211",510000,97211,1249
420,"2745 SE 167th Ave, Portland, OR 97236",457000,97236,1341
421,"9449 NW Kaiser Rd, Portland, OR 97231",1165000,97231,3162
422,"10024 SE Taggart St, Portland, OR 97266",340000,97266,1207
423,"9817 NE Irving St Apt 216, Portland, OR 97220",235000,97220,741
424,"5947 NE 14th Ave, Portland, OR 97211",569000,97211,2384
425,"5103 NW 140th Ave, Portland, OR 97229",650000,97229,1823
426,"2134 NE 19th Ave, Portland, OR 97212",1850000,97212,5766
427,"11980 SW Park Way, Portland, OR 97225",535000,97225,1300
428,"14871 NE Thompson, Portland, OR 97230",449000,97230,1676
429,"5250 SE 49th Ave, Portland, OR 97206",685000,97206,1948
430,"15347 NW Aberdeen Dr, Portland, OR 97229",539000,97229,1834
431,"14242 NW Bordeaux Ln, Portland, OR 97229",899900,97229,2993
432,"8005 SW 62nd Pl, Portland, OR 97219",474900,97219,1260
433,"12640 NE Hassalo St, Portland, OR 97230",399900,97230,1040
434,"720 N Prescott St, Portland, OR 97217",969000,97217,2378
435,"7852 NW Catalpa St, Portland, OR 97229",489900,97229,1724
436,"3230 SE 152nd Ave, Portland, OR 97236",449000,97236,1516
437,"3916 N Willis Blvd, Portland, OR 97217",749000,97217,2332
438,"841 S Gaines St Unit 1610, Portland, OR 97239",999000,97239,1668
439,"5238 N Princeton St, Portland, OR 97203",559900,97203,2268
440,"919 NE Webster St, Portland, OR 97211",839000,97211,2836
441,"1132 SW 19th Ave Unit 308, Portland, OR 97205",479000,97205,977
442,"5830 N Atlantic Ave, Portland, OR 97217",650000,97217,1584
443,"9738 N Hodge Ave, Portland, OR 97203",430000,97203,1577
444,"5700 SW Westdale Dr, Portland, OR 97221",785000,97221,3463
445,"1927 NE 16th Ave, Portland, OR 97212",1450000,97212,3873
446,"3234 NE 53rd Ave, Portland, OR 97213",625000,97213,1289
447,"7405 SW Hunt Club Ln, Portland, OR 97223",2650000,97223,4776
448,"416 NE Going St, Portland, OR 97211",649500,97211,1596
449,"435 NE 73rd Ave, Portland, OR 97213",574900,97213,1584
450,"6424 SE 70th Ave, Portland, OR 97206",299900,97206,701
451,"6420 SE 32nd Ave, Portland, OR 97202",939000,97202,2701
452,"4546 SE 97th Ave, Portland, OR 97266",377500,97266,1782
453,"3644 NE 19th Ave, Portland, OR 97212",625000,97212,1644
454,"12419 SE Bush St, Portland, OR 97236",349500,97236,1862
455,"9095 SW Taylor St, Portland, OR 97225",1975000,97225,3853
456,"3160 SE 24th Ave, Portland, OR 97202",1100000,97202,2668
457,"136 SE 141st Ave, Portland, OR 97233",350000,97233,754
458,"11850 NW Mellridge Ln, Portland, OR 97229",1285000,97229,3593
459,"5546 NE Mason St, Portland, OR 97218",419000,97218,1116
460,"1935 SE 154th Ave, Portland, OR 97233",460000,97233,1750
461,"14128 NE Rose Pkwy, Portland, OR 97230",540000,97230,3208
462,"10808 SE Clay St, Portland, OR 97216",599000,97216,2700
463,"645 SW 6th Ct, Portland, OR 97219",575000,97219,1536
464,"9290 SW Durham Rd, Portland, OR 97224",829900,97224,4312
465,"4009 NE 62nd Ave, Portland, OR 97213",575000,97213,1404
466,"6516 SE 92nd Ave, Portland, OR 97266",424000,97266,2016
467,"7306 SE Knight St, Portland, OR 97206",449999,97206,1995
468,"4719 NE Flanders St, Portland, OR 97213",775000,97213,2560
469,"7823 SE 32nd Ave, Portland, OR 97202",749900,97202,2532
470,"18345 NE Glisan St Unit 10, Portland, OR 97230",119000,97230,1456
471,"12465 SW Park Way, Portland, OR 97225",585000,97225,1392
472,"1903 NE 58th Ave, Portland, OR 97213",799000,97213,2616
473,"223 NE Ivy St Apt A, Portland, OR 97212",515000,97212,1305
474,"1221 SE 53rd Ave, Portland, OR 97215",675000,97215,1500
475,"2425 SE 62nd Ave, Portland, OR 97206",597000,97206,2126
476,"5630 S Riverside Ln Apt 6, Portland, OR 97239",359900,97239,1170
477,"11005 NE Fargo St, Portland, OR 97220",525000,97220,1864
478,"3437 NE 126th Ave, Portland, OR 97230",565000,97230,3180
479,"1155 SE Grant St, Portland, OR 97214",680900,97214,1910
480,"4803 SW Hamilton St, Portland, OR 97221",740000,97221,2144
481,"9208 N Wall Ave, Portland, OR 97203",459900,97203,1390
482,"6340 SE Reed College Pl, Portland, OR 97202",1815000,97202,5843
483,"2309 SW 1st Ave Apt 1045, Portland, OR 97201",375000,97201,2062
484,"4327 SE Ash St, Portland, OR 97215",699000,97215,1685
485,"6916 NE Mallory Ave, Portland, OR 97211",547000,97211,1664
486,"9455 NW Murlea Ln, Portland, OR 97229",669900,97229,1824
487,"6703 SE 86th Ave, Portland, OR 97266",379900,97266,1084
488,"10024 SW 36th Ct, Portland, OR 97219",639900,97219,1977
489,"2410 N Blandena St, Portland, OR 97217",850000,97217,2434
490,"514 SE 42nd Ave, Portland, OR 97215",970000,97215,2175
491,"6321 NW Gerber Ter, Portland, OR 97229",785000,97229,2466
492,"1594 NW 143rd Ave, Portland, OR 97229",399000,97229,1477
493,"8553 NE Clackamas St, Portland, OR 97220",390000,97220,996
494,"4715 NE 110th Ave, Portland, OR 97220",384000,97220,2026
495,"7929 SW 40th Ave Apt M, Portland, OR 97219",275000,97219,890
496,"1024 SE 144th Ave, Portland, OR 97233",385000,97233,960
497,"12804 E Burnside St, Portland, OR 97233",392000,97233,1325
498,"17809 SE Haig Dr, Portland, OR 97236",424950,97236,2180
499,"815 NE 110th Ave, Portland, OR 97220",455000,97220,1942
500,"4110 SW Charming Way, Portland, OR 97225",1475000,97225,3074
501,"4527 SE 45th Ave, Portland, OR 97206",450000,97206,3212
502,"1118 NE 118th Ave, Portland, OR 97220",399000,97220,2000
503,"2239 SE 147th Ave, Portland, OR 97233",372500,97233,864
504,"6604 SE Insley St Unit B, Portland, OR 97206",385000,97206,791
505,"7132 SE Gladstone St, Portland, OR 97206",665000,97206,1800
506,"3315 N Russet St, Portland, OR 97217",495000,97217,2200
507,"3930 SE 162nd Ave Unit 13, Portland, OR 97236",149995,97236,1344
508,"6004 NE Simpson St, Portland, OR 97218",462500,97218,1738
509,"300 NE Tomahawk Island Dr Unit E10, Portland, OR 97217",389000,97217,1728
510,"15892 SW Colyer Way, Portland, OR 97224",699000,97224,2031
511,"2321 SW Sherwood Dr, Portland, OR 97201",599000,97201,1015
512,"620 NE 153rd Ave, Portland, OR 97230",599900,97230,2926
513,"7200 SW 8th Ave, Portland, OR 97219",765000,97219,3056
514,"15 SE 86th Ave, Portland, OR 97216",529900,97216,2109
515,"14523 SE Mill St, Portland, OR 97233",575000,97233,1704
516,"4831 NE 31st Ave, Portland, OR 97211",384500,97211,928
517,"3165 SW Underwood Dr, Portland, OR 97225",1650000,97225,4350
518,"8510 SW Milon Ln, Portland, OR 97225",699000,97225,2476
519,"6324 SE 84th Ave, Portland, OR 97266",385000,97266,884
520,"2451 SE 85th Ave, Portland, OR 97216",325000,97216,896
521,"8923 NE Humboldt St, Portland, OR 97220",249900,97220,1180
522,"16523 SE Crest Ct, Portland, OR 97236",599000,97236,2483
523,"6535 SE Pine St, Portland, OR 97215",2225000,97215,2735
524,"14516 SE Crystal St, Portland, OR 97236",569000,97236,2246
525,"2121 SW 16th Ave, Portland, OR 97201",2095000,97201,5856
526,"3105 SW Carolina St, Portland, OR 97239",659000,97239,2100
527,"10387 N Mohawk Ave, Portland, OR 97203",465000,97203,1400
528,"3962 SE Gladstone St, Portland, OR 97202",519900,97202,1620
529,"2718 SE 28th Pl, Portland, OR 97202",624999,97202,2078
530,"8415 NW Hazeltine St, Portland, OR 97229",1335000,97229,3636
531,"8014 N Johnswood Dr, Portland, OR 97203",650000,97203,2184
532,"6745 SE 68th Ave, Portland, OR 97206",375000,97206,884
533,"16901 SE Division St Unit 12A, Portland, OR 97236",47500,97236,576
534,"8252 NE Eugene St, Portland, OR 97220",424000,97220,1107
535,"4331 SE Nehalem St, Portland, OR 97206",450000,97206,1759
536,"6044 SE Stephens St, Portland, OR 97215",600000,97215,1695
537,"8580 N John Ave, Portland, OR 97203",349999,97203,888
538,"3440 SW 100th Ave, Portland, OR 97225",975000,97225,2555
539,"3724 NE Senate St, Portland, OR 97232",699000,97232,1766
540,"2549 SW Beaverton Hillsdale Hwy, Portland, OR 97239",249900,97239,956
541,"3503 SW Canby St, Portland, OR 97219",549900,97219,2069
542,"4805 NE 105th Ave, Portland, OR 97220",410000,97220,2376
543,"176 NE 172nd Ave, Portland, OR 97230",400000,97230,1401
544,"2851 SW Montgomery Dr, Portland, OR 97201",849000,97201,2102
545,"1900 S River Dr Unit 1005, Portland, OR 97201",825000,97201,1650
546,"7475 SE Rhone St, Portland, OR 97206",749900,97206,2493
547,"847 N Russet St, Portland, OR 97217",775000,97217,2560
548,"8504 N Foss Ave, Portland, OR 97203",450000,97203,1256
549,"5703 S Corbett Ave, Portland, OR 97239",535000,97239,1485
550,"1211 NE Stanton St, Portland, OR 97212",1395000,97212,3115
551,"4835 SE 113th Ave, Portland, OR 97266",362500,97266,888
552,"505 SE 35th Ave, Portland, OR 97214",700000,97214,2632
553,"2336 SW Osage St Unit 800, Portland, OR 97205",3275000,97205,4927
554,"9522 N Exeter Ave, Portland, OR 97203",559900,97203,1860
555,"2820 NE 32nd Ave, Portland, OR 97212",1324900,97212,3131
556,"6230 SW Dolph Dr, Portland, OR 97219",899000,97219,3432
557,"7117 N Seward Ave, Portland, OR 97217",699900,97217,2974
558,"5740 S Riverpoint Ln, Portland, OR 97239",849900,97239,1639
559,"4834 NE Prescott St Unit B, Portland, OR 97218",499900,97218,873
560,"5833 SE 41st Ave Unit B, Portland, OR 97202",524900,97202,873
561,"7215 N Campbell Ave, Portland, OR 97217",399000,97217,850
562,"1635 NE Rosa Parks Way Unit B, Portland, OR 97211",524900,97211,873
563,"4284 NW Ashbrook Dr, Portland, OR 97229",919900,97229,2485
564,"1937 SE 20th Ave, Portland, OR 97214",579000,97214,1213
565,"845 NE Emerson St, Portland, OR 97211",549900,97211,1756
566,"10225 SW 35th Ave, Portland, OR 97219",599900,97219,2552
567,"11014 SE Harold St, Portland, OR 97266",410000,97266,1216
568,"3334 NE 81st Ave, Portland, OR 97213",385000,97213,981
569,"2213 SE 179th Ave, Portland, OR 97233",369000,97233,1008
570,"3966 SE Gladstone St, Portland, OR 97202",440000,97202,1201
571,"1920 SE 135th Ave, Portland, OR 97233",396000,97233,912
572,"3321 NE Irving St, Portland, OR 97232",1650000,97232,3819
573,"11105 SW 43rd Ave, Portland, OR 97219",599900,97219,2215
574,"5899 SW 67th Pl, Portland, OR 97225",1049950,97225,3243
575,"1426 NE Holland St, Portland, OR 97211",450000,97211,1408
576,"3314 SE 15th Ave, Portland, OR 97202",500000,97202,2061
577,"1907 SE 162nd Ave, Portland, OR 97233",479900,97233,1860
578,"18152 NE Everett Ct, Portland, OR 97230",324900,97230,750
579,"6704 SW 15th Ave, Portland, OR 97219",645000,97219,1388
580,"3316 NE 20th Ave, Portland, OR 97212",685000,97212,2906
581,"2624 SE 30th Ave, Portland, OR 97202",1150000,97202,2766
582,"19619 NE Multnomah St, Portland, OR 97230",300000,97230,1008
583,"15202 SE Kelly St, Portland, OR 97236",475000,97236,1909
584,"11808 SE Malden Ct, Portland, OR 97266",495000,97266,1500
585,"937 NW Glisan St Unit 1237, Portland, OR 97209",699900,97209,1584
586,"4600 NE 118th Ave, Portland, OR 97220",275000,97220,2048
587,"16205 NW Gillihan Rd, Portland, OR 97231",2990000,97231,1635
588,"13115 SE Foster Rd Unit 48, Portland, OR 97236",75000,97236,1248
589,"8039 N Lombard Way, Portland, OR 97203",499950,97203,1693
590,"353 SE Ankeny Cir, Portland, OR 97233",965888,97233,3738
591,"2815 SE 129th Ave, Portland, OR 97236",379900,97236,1008
592,"15341 SE Knapp Dr, Portland, OR 97236",595000,97236,2070
593,"19035 NW Illahe St, Portland, OR 97229",584950,97229,1503
594,"2843 N Halleck St, Portland, OR 97217",574900,97217,1864
595,"12161 SE Knapp Ln, Portland, OR 97266",499500,97266,2605
596,"7304 N Albina Ave, Portland, OR 97217",450000,97217,1704
597,"5895 SW 67th Pl, Portland, OR 97225",1096950,97225,3674
598,"3136 NE 31st Ave, Portland, OR 97212",550000,97212,2436
599,"2336 SE 130th Ave, Portland, OR 97233",180000,97233,1580
600,"1696 NW 143rd Ave, Portland, OR 97229",259000,97229,1088
601,"3963 N Montana Ave Unit 3, Portland, OR 97227",355000,97227,916
602,"11572 NW Pagosa Ln, Portland, OR 97229",679900,97229,1907
603,"7412 SW Capitol Hwy, Portland, OR 97219",559900,97219,2091
604,"3634 NE 145th Ave, Portland, OR 97230",430000,97230,1456
605,"1534 NE 60th Ave, Portland, OR 97213",450000,97213,1808
606,"2605 N Argyle St, Portland, OR 97217",519000,97217,1447
607,"1030 NW Johnson St Apt 523, Portland, OR 97209",699000,97209,1597
608,"5916 SW 67th Pl, Portland, OR 97225",949950,97225,2855
609,"516 N Bryant St, Portland, OR 97217",749900,97217,2172
610,"18345 NE Glisan St Unit 8, Portland, OR 97230",129950,97230,1188
611,"5891 SW 67th Pl, Portland, OR 97225",895950,97225,2904
612,"6551 SE 69th Ave, Portland, OR 97206",519000,97206,1432
613,"4717 NE 97th Ave, Portland, OR 97220",339900,97220,1420
614,"1933 NE 61st Ave, Portland, OR 97213",735000,97213,2396
615,"7031 SE 84th Ave, Portland, OR 97266",339000,97266,906
616,"599 SE 148th Ave, Portland, OR 97233",199000,97233,867
617,"3724 SE 33rd Pl, Portland, OR 97202",385000,97202,1145
618,"6215 SW California St, Portland, OR 97219",1295000,97219,1748
619,"1300 NE 68th Ave Apt 12, Portland, OR 97213",269000,97213,687
620,"5906 SW 67th Pl, Portland, OR 97225",1099950,97225,3355
621,"620 SE 146th Ave, Portland, OR 97233",325000,97233,2272
622,"4304 SE 45th Ave, Portland, OR 97206",575000,97206,2320
623,"7050 SE Yamhill St, Portland, OR 97215",679950,97215,2136
624,"7710 SW Cedarcrest St, Portland, OR 97223",399000,97223,956
625,"8808 NE Hassalo St, Portland, OR 97220",289000,97220,932
626,"12123 SE Lexington St, Portland, OR 97266",749900,97266,3537
627,"3557 SE 151st Ave, Portland, OR 97236",399950,97236,1772
628,"6411 SE 32nd Ave, Portland, OR 97202",919900,97202,2825
629,"5837 NW Skyline Blvd, Portland, OR 97229",3490000,97229,7943
630,"2922 SE 136th Ave, Portland, OR 97236",369000,97236,1198
631,"542 NE Meadow Dr, Portland, OR 97211",595000,97211,2021
632,"17113 SE Salmon St, Portland, OR 97233",429900,97233,2047
633,"4001 NE 78th Ave, Portland, OR 97213",365000,97213,1456
634,"537 NE Church St Unit 4, Portland, OR 97211",359900,97211,1320
635,"156 NE 188th Ave, Portland, OR 97230",475000,97230,2156
636,"333 NW 9th Ave Unit 703, Portland, OR 97209",539000,97209,1176
637,"10945 SW 60th Ave, Portland, OR 97219",579900,97219,1652
638,"2734 SE 34th Ave, Portland, OR 97202",899900,97202,2609
639,"2300 SE 82nd Ave Unit 11, Portland, OR 97216",95000,97216,798
640,"6310 SE 87th Ave, Portland, OR 97266",430000,97266,1358
641,"17022 SE Juliano Ct, Portland, OR 97236",360000,97236,1272
642,"5003 SE 63rd Ave, Portland, OR 97206",429989,97206,1224
643,"3671 SE 86th Ave, Portland, OR 97266",475000,97266,1155
644,"5618 SE 65th Ave, Portland, OR 97206",599900,97206,2848
645,"3095 SW Arnold St, Portland, OR 97219",1365000,97219,3193
646,"7250 SW 13th Ave, Portland, OR 97219",849000,97219,3398
647,"121 NE Knott St, Portland, OR 97212",639900,97212,2304
648,"6616 N Montana Ave, Portland, OR 97217",475000,97217,1368
649,"11745 NW Sadie Ln Lot 86, Portland, OR 97229",1049950,97229,3058
650,"4980 NE 34th Ave, Portland, OR 97211",654950,97211,1693
651,"4345 NE 47th Ave, Portland, OR 97218",575000,97218,1976
652,"5241 E Burnside St, Portland, OR 97215",639900,97215,1926
653,"11621 NE Prescott St, Portland, OR 97220",519000,97220,1787
654,"255 SW Harrison St Apt TH10, Portland, OR 97201",479900,97201,1184
655,"13213 NE Eugene St, Portland, OR 97230",549900,97230,1771
656,"12766 NW Bayonne Ln, Portland, OR 97229",749900,97229,2532
657,"2309 SW 1st Ave Apt 543, Portland, OR 97201",329000,97201,1332
658,"6608 SE Ogden St, Portland, OR 97206",479000,97206,1534
659,"1445 NW Jenne Ave, Portland, OR 97229",679000,97229,1928
660,"11557 SE Taylor St, Portland, OR 97216",425000,97216,1329
661,"550 SW 10th Ave Unit 2102, Portland, OR 97205",2275000,97205,1756
662,"550 SW 10th Ave Unit 2101, Portland, OR 97205",3220000,97205,2611
663,"3450 SW 87th Ave, Portland, OR 97225",793000,97225,2615
664,"1612 NE 150th Ave, Portland, OR 97230",499950,97230,1469
665,"7250 SW Canyon Ln, Portland, OR 97225",589950,97225,1628
666,"8450 N Seward Ave, Portland, OR 97217",539900,97217,1545
667,"9420 SW 8th Ave, Portland, OR 97219",492999,97219,1685
668,"7426 SE 21st Ave, Portland, OR 97202",599900,97202,1218
669,"14844 SE Caruthers Ct, Portland, OR 97233",179000,97233,956
670,"2220 SE 146th Ave, Portland, OR 97233",399900,97233,1494
671,"4127 SE 67th Ave, Portland, OR 97206",398000,97206,1276
672,"4206 NE 37th Ave, Portland, OR 97211",599900,97211,1382
673,"8542 N Tyler Ave, Portland, OR 97203",454500,97203,1892
674,"8020 SW 61st Ave, Portland, OR 97219",530000,97219,1560
675,"7124 N Montana Ave, Portland, OR 97217",624900,97217,2205
676,"4649 NE 35th Ave, Portland, OR 97211",1050000,97211,2676
677,"6802 SW 33rd Pl, Portland, OR 97219",710000,97219,2320
678,"446 NE Cook St, Portland, OR 97212",349950,97212,931
679,"315 NE Morgan St, Portland, OR 97211",599500,97211,2084
680,"8808 SW 51st Ave, Portland, OR 97219",715000,97219,2004
681,"4718 NE 99th Ave, Portland, OR 97220",350000,97220,936
682,"3440 SE Holgate Blvd Unit A, Portland, OR 97202",479900,97202,2000
683,"11953 SE Powell Blvd, Portland, OR 97266",449999,97266,2663
684,"6635 SE Woodstock Blvd, Portland, OR 97206",425000,97206,720
685,"6304 N Mississippi Ave, Portland, OR 97217",769000,97217,2902
686,"4927 NE Holman St, Portland, OR 97218",375000,97218,1272
687,"2680 SW 87th Ave Apt 12, Portland, OR 97225",230000,97225,676
688,"1420 NW 20th Ave Apt 403, Portland, OR 97209",749900,97209,1539
689,"12720 SE Mill St, Portland, OR 97233",379990,97233,1808
690,"14125 NW Germantown Rd, Portland, OR 97231",5000000,97231,13000
691,"13940 NW Marshall St, Portland, OR 97229",850000,97229,2894
692,"16598 NW Canton St, Portland, OR 97229",1035000,97229,3254
693,"4911 SE Haig St, Portland, OR 97206",599900,97206,2679
694,"13314 SE Bush St, Portland, OR 97236",374900,97236,1500
695,"1925 NE 118th Ave, Portland, OR 97220",530000,97220,2062
696,"6477 SE 65th Ave, Portland, OR 97206",624900,97206,1718
697,"2633 NE Alameda St, Portland, OR 97212",1698000,97212,4647
698,"13183 NW Helen Ln, Portland, OR 97229",1089000,97229,3080
699,"2522 SE 21st Ave, Portland, OR 97202",499995,97202,2292
700,"3846 NE Glisan St, Portland, OR 97232",1300000,97232,3724
701,"12600 NW Barnes Rd Apt 8, Portland, OR 97229",249000,97229,812
702,"2309 SW 1st Ave Apt 544, Portland, OR 97201",395000,97201,1497
703,"3552 NE Us Grant Pl, Portland, OR 97212",699900,97212,2408
704,"5255 NE 60th Ave, Portland, OR 97218",489900,97218,3134
705,"1539 SE 57th Ave, Portland, OR 97215",1125000,97215,3782
706,"6110 SE Tolman St, Portland, OR 97206",599000,97206,2304
707,"14712 SE Duke St, Portland, OR 97236",699000,97236,3182
708,"255 SW California St, Portland, OR 97219",1150000,97219,3721
709,"1617 NE 19th Ave, Portland, OR 97232",499000,97232,1909
710,"10618 NW 4th Pl, Portland, OR 97231",599000,97231,4824
711,"1525 NE Marine Dr, Portland, OR 97211",3250000,97211,6310
712,"1025 SW Davenport St, Portland, OR 97201",2350000,97201,4359
713,"1210 SE Oak St, Portland, OR 97214",850000,97214,2389
714,"7569 N Leavitt Ave, Portland, OR 97203",410000,97203,1670
715,"5021 SW Marigold St, Portland, OR 97219",450000,97219,1300
716,"1715 SE 29th Ave, Portland, OR 97214",799900,97214,2520
717,"1011 NE 69th Ave, Portland, OR 97213",799000,97213,2304
718,"9805 N Clarendon Ave, Portland, OR 97203",485000,97203,1326
719,"419 NE Roth St, Portland, OR 97211",399000,97211,1572
720,"4805 SE Cesar E Chavez Blvd, Portland, OR 97202",430000,97202,1548
721,"5222 NE Alameda St, Portland, OR 97213",867530,97213,3131
722,"1601 N Jarrett St, Portland, OR 97217",525000,97217,2094
723,"4240 SW Freeman St, Portland, OR 97219",934900,97219,2668
724,"4011 SE 65th Ave, Portland, OR 97206",444000,97206,1984
725,"11927 SE Boise St, Portland, OR 97266",420000,97266,1152
726,"3717 SE Washington St, Portland, OR 97214",484000,97214,944
727,"10838 S Southridge Dr, Portland, OR 97219",1095000,97219,3821
728,"2221 SW 1st Ave Apt 2121, Portland, OR 97201",389000,97201,1267
729,"3004 SE 71st Ave, Portland, OR 97206",475000,97206,1293
730,"14676 SW 148th Ter, Portland, OR 97224",1250000,97224,3402
731,"2536 SE 67th Ave, Portland, OR 97206",690000,97206,1704
732,"2780 SW Talbot Rd, Portland, OR 97201",1699000,97201,4810
733,"550 SW 10th Ave Unit 3401, Portland, OR 97205",7850000,97205,3966
734,"7411 N Bank St, Portland, OR 97203",450000,97203,1491
735,"210 SE Spokane St, Portland, OR 97202",775000,97202,2888
736,"3835 NE Cleveland Ave, Portland, OR 97212",624900,97212,2316
737,"1616 NE 45th Ave Apt 4, Portland, OR 97213",419990,97213,1026
738,"2619 SE 61st Ave, Portland, OR 97206",525000,97206,1630
739,"16050 SE Clay St, Portland, OR 97233",415000,97233,1072
740,"4637 SW Fairhaven Dr, Portland, OR 97221",799700,97221,2315
741,"7169 SE Stark St, Portland, OR 97215",699900,97215,2395
742,"540 NE 125th Ave, Portland, OR 97230",399900,97230,2288
743,"129 SE 61st Ave, Portland, OR 97215",685000,97215,2420
744,"11544 SE Main St, Portland, OR 97216",399900,97216,1468
745,"13035 NW Filbert St, Portland, OR 97229",500000,97229,1148
746,"15812 NE Russell St, Portland, OR 97230",525000,97230,2023
747,"3161 NE 72nd Ave, Portland, OR 97213",450000,97213,1523
748,"3923 SW Vacuna St, Portland, OR 97219",739900,97219,1884
749,"3307 SE Morrison St Unit 25, Portland, OR 97214",515000,97214,1483
750,"1830 NW Riverscape St Apt 503, Portland, OR 97209",720000,97209,1473
751,"5315 NE 41st Ave, Portland, OR 97211",349000,97211,936
752,"3915 NE 17th Ave, Portland, OR 97212",874000,97212,2959
753,"4100 NE Multnomah St, Portland, OR 97232",789900,97232,2689
754,"5604 SE 104th Ave, Portland, OR 97266",365000,97266,1004
755,"7035 SE Windsor Ct, Portland, OR 97206",824000,97206,3192
756,"6225 N Amherst St, Portland, OR 97203",625000,97203,1416
757,"7385 NW Catalpa St, Portland, OR 97229",1031095,97229,3358
758,"5520 SE 119th Ave, Portland, OR 97266",359900,97266,768
759,"636 N Lombard St, Portland, OR 97217",350000,97217,914
760,"6400 SW Range Ter, Portland, OR 97223",850000,97223,2791
761,"461 SE 72nd Ave, Portland, OR 97215",899000,97215,2407
762,"18001 NE Davis St, Portland, OR 97230",410000,97230,1732
763,"5829 SE Carlton St, Portland, OR 97206",489000,97206,1450
764,"5815 NE 30th Ave, Portland, OR 97211",575000,97211,2188
765,"1515 SE Rhone St, Portland, OR 97202",525000,97202,2096
766,"1510 SE 57th Ave, Portland, OR 97215",725000,97215,4893
767,"10831 NE Oregon St, Portland, OR 97220",589900,97220,2608
768,"4142 SW Hillside Dr, Portland, OR 97221",799900,97221,2530
769,"2811 SW Stanley Ct, Portland, OR 97219",819000,97219,2999
770,"8125 SW Canyon Rd, Portland, OR 97225",779000,97225,2672
771,"6706 N Richmond Ave, Portland, OR 97203",325000,97203,1147
772,"437 NE Roth St, Portland, OR 97211",415000,97211,1572
773,"5945 NW Saltzman Rd, Portland, OR 97210",274900,97210,1308
774,"2726 SE Brooklyn St, Portland, OR 97202",550000,97202,2794
775,"1815 SW 16th Ave Apt 401, Portland, OR 97201",620000,97201,1652
776,"3570 S River Pkwy Unit 1001, Portland, OR 97239",939999,97239,1831
777,"6688 NW Lolo Ter, Portland, OR 97229",899950,97229,2736
778,"1766 NE 17th Ave, Portland, OR 97212",759000,97212,2293
779,"610 S Nevada St Apt H, Portland, OR 97219",429000,97219,1314
780,"731 SW Bancroft Ter, Portland, OR 97239",1299900,97239,3600
781,"13523 SE Mall St, Portland, OR 97236",649900,97236,2423
782,"149 N Hayden Bay Dr, Portland, OR 97217",335000,97217,1023
783,"7435 SE Henderson St, Portland, OR 97206",699900,97206,2425
784,"710 N Buffalo St, Portland, OR 97217",475000,97217,1043
785,"7100 SW Sharon Ln, Portland, OR 97225",899900,97225,3004
786,"10607 NW 4th Pl, Portland, OR 97231",624900,97231,3054
787,"2616 NE 7th Ave, Portland, OR 97212",479000,97212,1664
788,"3243 NE 77th Ave, Portland, OR 97213",585000,97213,2212
789,"1514 NE 48th Ave, Portland, OR 97213",674900,97213,2370
790,"7215 NE 8th Ave, Portland, OR 97211",479900,97211,1560
791,"7234 SE Yamhill St, Portland, OR 97215",469000,97215,2078
792,"4026 SE Caruthers St, Portland, OR 97214",639000,97214,1816
793,"400 NE 79th Ave, Portland, OR 97213",379500,97213,622
794,"1180 SW 60th Ave, Portland, OR 97221",1399900,97221,3393
795,"5940 SE 138th Pl, Portland, OR 97236",365000,97236,920
796,"6549 SE 64th Ave, Portland, OR 97206",459000,97206,1671
797,"7048 SW Raz Ct, Portland, OR 97223",899900,97223,2652
798,"3543 SE 64th Ave, Portland, OR 97206",499950,97206,1718
799,"2007 NE 152nd Ct, Portland, OR 97230",440000,97230,1290
800,"2616 SE 109th Ave, Portland, OR 97266",374950,97266,1834
801,"2735 SE 50th Ave, Portland, OR 97206",399000,97206,1132
802,"3127 SW Champlain Dr, Portland, OR 97205",1200000,97205,3794
803,"3645 N Albina Ave, Portland, OR 97227",799900,97227,2680
804,"1500 SW 5th Ave Unit 906, Portland, OR 97201",399900,97201,1319
805,"12851 SE Stark St, Portland, OR 97233",185000,97233,1003
